[00:00:00] 上一周我们已经开始了并发
[00:00:02] 里面两个比较重要的主题
[00:00:04] 首先教会大家使用线程库
[00:00:06] 然后再教大家互斥
[00:00:07] 那我们下一周的周四有一个随堂测验
[00:00:13] 大家不用担心
[00:00:14] 如果你们不想来
[00:00:15] 比如说你们有出行的安排
[00:00:16] 你就可以直接割
[00:00:17] 然后你可以呃用期末考试的成绩来替代
[00:00:20] 但是你们不用太担心
[00:00:22] 我的考试内容是从第一周到第七周
[00:00:26] 我不考
[00:00:26] 然后呃主要以基本概念
[00:00:29] 就是你掌握的程度为主
[00:00:30] 所以呃我给大家的复习建议是
[00:00:32] 你们要能理解我课堂上所有的示例代码
[00:00:36] 然后你你基本上能够在AI的辅助下
[00:00:39] 能够比如说把这些示例代码给编出来
[00:00:41] 并且知道它里面发生了什么
[00:00:43] 是一个
[00:00:44] 基本上就觉就完全不用担心
[00:00:46] 期中测验的问题了
[00:00:48] 然后我也推荐大家
[00:00:50] 如果没有完成实验的话
[00:00:51] 你可以把前面的实验
[00:00:53] 在不违反AI g c policy的呃情况下把它完成
[00:00:57] 这样也可以对你呃期中测验肯定是有帮助的
[00:01:00] 不仅是期中网
[00:01:01] 也有期期末考试
[00:01:02] 我我不会为难大家
[00:01:03] 但是呃我我会有些地方可能会
[00:01:06] 查一下大家对概念是不是真的理解了
[00:01:09] 就可能会稍微灵活灵活一些
[00:01:11] 但不会超过这个概念
[00:01:13] 我们前面在并发编程里面
[00:01:15] 首先讲了线程库
[00:01:17] 然后讲了一个非常重要的机制
[00:01:19] 就是lock和unlock
[00:01:20] 然后lock unlock相当于是这样的一把锁
[00:01:22] 使得我们的两段代码
[00:01:24] A和B这两段代码要么是先A后B
[00:01:27] 要么是先B后A
[00:01:28] acquire和release
[00:01:30] 相当于桌上
[00:01:31] 我打了个比方
[00:01:31] 桌上有把钥匙
[00:01:32] 你拿到那个钥匙的人才能进
[00:01:34] 然后进了以后你只有把那个钥匙还回去
[00:01:36] 剩下的另外一个人才能再去拿这把钥匙
[00:01:39] 所以我们就可以实现这种loft data structure
[00:01:43] 比如说并发的链表
[00:01:44] 并发的呃二叉树
[00:01:46] 并发的各种各样的数据结构
[00:01:48] 你都可以用这个锁锁来实现
[00:01:50] 我要push
[00:01:50] 我要pop
[00:01:51] 我都可以用这个数据结构来实现
[00:01:53] 用了快和release lock unlock
[00:01:55] 你就可以实现像呃多处理器上的MALLOC和free
[00:01:58] 这是我我们呃第五个实验作业
[00:02:02] 但是呢你们也发现呃互斥
[00:02:04] 他没有解决并发里面所有的问题
[00:02:07] 因为虽然呢他确实呃解决了
[00:02:09] 你如果两个线程同时sum加加这个sum不对
[00:02:12] 这样的A或B的问题
[00:02:15] 要么A先A后B
[00:02:16] 要么先B后A
[00:02:17] 但是如果我们真的就想要
[00:02:19] 一定A要发生在B前面
[00:02:21] 你发现上锁这个事情是办不到的
[00:02:24] 因为两个线程它它它就是一起往前执行的
[00:02:27] 那到底谁先到
[00:02:28] 谁就会把桌上那个钥匙给拿走
[00:02:30] 那我们想要实现这个先A后B
[00:02:33] 那一个典型的先验货币
[00:02:34] 就是现成的drain
[00:02:36] 我们县城我我可以SPN好多线程
[00:02:38] T1T2T三
[00:02:39] 然后我现在我现在
[00:02:41] 我的主线程或者任何一个线程
[00:02:42] 我想要等到所有的线程结束了再打印sum
[00:02:45] 那我们现在是给了大家一个join的API
[00:02:49] 你你调用join呢
[00:02:50] 我们的main里面join
[00:02:51] 那就可以等到所有的线程都结束
[00:02:53] 但是你你理论上说join
[00:02:55] 也应该是由我们来实现的
[00:02:57] 呃这就是我今天要讲的内容
[00:03:00] 现成的
[00:03:01] 同步同步可以说是整个并发里面
[00:03:04] 大家掌握起来一直以来是有一点难度的
[00:03:07] 不过我现在已经找到一个方法来讲它
[00:03:09] 我觉得现在还是比较能好理解
[00:03:12] 同时这是整个并发里面
[00:03:15] 并发控制里面最重要的一部分内容
[00:03:17] 你只要学会了同步
[00:03:19] 你基本上呃99%的现实世界当中
[00:03:22] 你要想要用
[00:03:23] 比如说要用多处理器系统来
[00:03:26] 解决一个呃比较复杂的
[00:03:28] 但是又要并行化的计算问题
[00:03:30] 那你都可以在这个同步里面找到答案
[00:03:32] 就说你其实今今天听完这节课
[00:03:34] 你理论上说就可以写任何的并发并发程序了
[00:03:37] 只要在一定的AI的帮助下
[00:03:38] 你有一个很好的基本概念
[00:03:41] 所以我就先来讲一讲什么是同步
[00:03:43] 刚才我们提到有两个线程
[00:03:45] 那这个A和B当两个线程开始执行的时候
[00:03:48] 它就是完全异步的
[00:03:51] 同步和异步是相对的
[00:03:52] 所谓的异步就是我们把人类比作线程
[00:03:56] 然后把物理空间比作共享内存
[00:03:59] 打这个比方
[00:04:00] 那我们人就是各管各的
[00:04:03] 我们每一个人是一个封闭的个体
[00:04:05] 有自己的private memory
[00:04:06] 那我们自己各管各的时候
[00:04:08] 我们没有办法去强制要求我
[00:04:11] 我比你先到教室
[00:04:12] 你比我先到教室
[00:04:14] 我们本身每一个人都是独立的实体
[00:04:17] 比如说我点一个外卖
[00:04:18] 我点好以后我就不管他了
[00:04:19] 我也不知道他什么时候呃会到
[00:04:21] 但到了以后我的手机会收到一个通知
[00:04:23] 这个某种意义上就是一种呃同步
[00:04:25] 然后如果把这个概念再稍微讲得细一点
[00:04:28] 同步就是两个或者两个以上随时间变化的量
[00:04:31] 在变化过程中保持一定相对关系
[00:04:33] 这样一件事
[00:04:34] 听起来很抽象
[00:04:35] 就是这个呃你不知道他是干什么的概念
[00:04:37] 但你你听到同步两个字的时候
[00:04:40] 你会反应过来很多这个呃现实中的同步的例子
[00:04:44] 比如说同步的电机
[00:04:46] 比如说同步的电路
[00:04:48] 然后这些呃同步是在呃物理世界里面
[00:04:52] 有各种各样的机制来实现的
[00:04:55] 比如说同步电机是用这个磁场的锁定
[00:04:57] 磁锁定来实现的
[00:04:58] 然后同步电路是用时钟信号驱动的
[00:05:01] 唉大家还记得同步电路吗
[00:05:02] 在时钟上升沿到来的时候
[00:05:05] 我们的flip flop
[00:05:06] 我们的寄存器的值会锁锁住
