[00:00:00] 上一节课我们讲了虚拟化的最后一次课
[00:00:04] 我们从最早的
[00:00:06] 从应用视角说
[00:00:08] 操作系统就是一组API
[00:00:09] 然后把这个API呃掰开来一点一点
[00:00:12] 讲了很多的内容
[00:00:14] 然后但如果我总结一下的话
[00:00:16] 你们应该能留下一个这样的概念
[00:00:18] 就是我们的整个计算机系统
[00:00:20] 你看到的这样的一台计算机
[00:00:21] 我的一台计算机或者你们手上的笔记本电脑
[00:00:24] 它都是从CPU reset开始的
[00:00:26] 它有一个最早的那个状态
[00:00:29] 然后CPU reset开始以后
[00:00:31] 程序就开始运行了
[00:00:32] FORMWORK会先把操作系统加载
[00:00:34] 然后加载以后操作系统会干一些事
[00:00:36] 比如说我上节课的时候讲了
[00:00:37] 有一个叫init ram fs
[00:00:38] 还有一个文件系统的数
[00:00:40] 最早的操作系统就会把这个文件系统数
[00:00:42] 加载到内存里
[00:00:43] 它变成一个文件系统加载里面的INIT程序
[00:00:46] 然后在这个之前
[00:00:47] 其实我们也讲了到底什么是程序
[00:00:49] EXECVE的系统调用
[00:00:51] 它会接收一个可执行文件
[00:00:52] 它是怎么被加载到呃内存上
[00:00:55] 到加载到CPU上执行的
[00:00:57] 然后等到这个音乐程序
[00:00:58] 在加载了真正的文件系统里面磁盘的呃的时候
[00:01:01] 再会执行一个系统调用
[00:01:03] 切换到一个新的LINUX程序
[00:01:05] 就是我们在PSP里面看到的
[00:01:08] 第一个进程这个system d就被创建出来了
[00:01:12] 然后他在用
[00:01:14] 各种各样的系统调用去创建
[00:01:16] 你们看到的应用程序的世界
[00:01:18] 就是你们在屏幕上面看到的这一切
[00:01:20] 然后在这一切系统调用
[00:01:23] 从操作系统来看
[00:01:24] 它就是一个system called API
[00:01:25] 但是如果你想要构建这个应用生态的话
[00:01:28] 它还有一层一层的洋葱
[00:01:30] 我有lip c
[00:01:31] 一个有ISO标准
[00:01:32] 一个可以移植的基座
[00:01:34] 你写C程序就可以移植到
[00:01:35] 很容易移植到其他的平台
[00:01:37] 甚至是那种微小的呃控制器
[00:01:39] 然后在lip c之上还有很多的库函数
[00:01:42] 你们想要在终端上显示字符
[00:01:44] 想要读取字符
[00:01:45] 想要访问屏幕
[00:01:47] 想要创建图形界面的
[00:01:48] 都是有相应的底层的呃库函数
[00:01:52] 然后在这个底层的库函数上面
[00:01:54] 又长出了很多应用程序的生态
[00:01:56] JAVASCRIPT的生态
[00:01:57] Python的生态
[00:01:57] 比如你们打开一个visual studio code
[00:02:00] 那它是electron框架里面
[00:02:02] 它是一个JAVASCRIPT的呃程序在运行
[00:02:05] 但它会一路依赖到最底下的LIPC
[00:02:08] 底层的呃库函数
[00:02:10] 然后这样的一个呃操作系统的设计
[00:02:13] 它是一个OS的API
[00:02:14] 或者我们叫它呃系统在用它
[00:02:17] 它往上是整个应用程序的生态也是越长越大的
[00:02:21] 它往下其实可以有兼容多个体系结构
[00:02:24] 这个学期的
[00:02:26] 呃课程从X86
[00:02:27] 因为以前我一般都是在讲台上的这台电脑上面
[00:02:31] 直接展示的
[00:02:32] 然后我今年我把它换成了
[00:02:35] 我的一台树莓派
[00:02:36] 那他们两个就是不同的价格
[00:02:37] 一个是X86
[00:02:38] 一个是arm64
[00:02:40] 还可以有Rest of five等等
[00:02:43] 但是不同的体系结构上
