[00:00:00] 今天我们来讲应用视角的操作系统
[00:00:03] 我们上一节课
[00:00:04] 很快的跟大家回顾了操作系统发展的历史
[00:00:07] 然后我相信我应该一定程度上已经劝说你们
[00:00:10] 我确实呃我们可以在这个人工智能的时代
[00:00:14] 还要坐下来好好的学
[00:00:16] 操作系统
[00:00:17] 然后我今天就会从相当于是这个学期
[00:00:21] 我们看操作系统
[00:00:22] 最重要的视角就是从应用程序
[00:00:23] 认为操作系统就是一组API
[00:00:26] 然后来理解操作系统
[00:00:28] 那么我今天再用一节课的时间去呃overview一下
[00:00:33] 今天应用视角的操作系统到底是怎么看
[00:00:36] 怎么理解的
[00:00:36] 所以从今天今天我们的主角就是程序
[00:00:40] 程序
[00:00:41] 我第一个讲的部分就是解释和编译一个呃程序
[00:00:45] 也就是操作系统上的程序
[00:00:46] 再回顾一下操作系统的定义
[00:00:49] Operating systems
[00:00:50] The body of software in fact that is responsible for making
[00:00:52] Easy to run programs
[00:00:54] 它呃可以让程序去共享资源
[00:00:57] 可以让程序去和设备交互
[00:00:59] 然后还有各种各样的呃有意思的事情
[00:01:03] 也就是说操作系统其实给你提供这个API
[00:01:06] 他给你呃非常大的能力
[00:01:08] 能让你去做一些
[00:01:09] 以前诶你在呃C的那个控制台里面
[00:01:12] 只用print type
[00:01:13] 你做不到的做不到的事情
[00:01:14] 然后如果你了解操作系统的这些API
[00:01:17] 也就意味着你可以用操作系统来干更多的
[00:01:20] 更多的事情
[00:01:21] 所以我觉得学一学还是值得的
[00:01:23] 尤其是在你知道呃操作系统可以做什么以后
[00:01:25] 你就可以指挥AI去调用这些API
[00:01:28] 来真实把它呃把它做起来
[00:01:29] 大家都知道人工智能很强
[00:01:31] 但是如果你没有合适的prompt的话
[00:01:32] 它呃他就站在那什么也不动对
[00:01:35] 然后我们会在操作系统课上面
[00:01:38] 或者说今天我就会彻底讲清楚什么是程序
[00:01:41] 然后会精确到每一个程序的bit都是well defined
[00:01:44] 然后顺便今天也算是有一个叫计算机程序的形
[00:01:49] 式语义的
[00:01:50] 你们第一次接触这个概念
[00:01:51] 但我不会讲这个概念
[00:01:52] 你们会感受到
[00:01:54] 什么叫呃编程语言的形式语义好
[00:01:58] 那我们就就开始开始这我我上节课忘记说了
[00:02:03] 我们这一整个学期
[00:02:04] 还是用一个非常经典的编程语言
[00:02:06] 就是C
[00:02:07] 因为呃如果我用一个更高级的呃编程语言的话
[00:02:10] 它绝大部分的呃部分都是和操系统没有关系的
[00:02:14] 它在操系统的基础上
[00:02:16] 做一层可能库函数的包装
[00:02:18] 然后再在其他的
[00:02:21] 比如说像你们写前端代码是吧
[00:02:23] JAVASCRIPT代码
[00:02:24] 它嗯很多的很多的语言的设计
[00:02:26] 都是围绕着这个整个domm tree是怎么
[00:02:29] 怎么处理的
[00:02:30] 然后怎么它语语言有一些比较好的特性
[00:02:32] 比如说呃typescript的类型系统
[00:02:35] 呃这些
[00:02:35] 但这些都和操作系统没有太大的关系
[00:02:37] 我们想要讲操作系统
[00:02:39] 操作系统是硬件和软件中间的那一个中间层
[00:02:42] 那呃我们就会选一个
[00:02:46] 那最理想的就是选汇编
[00:02:48] 因为汇编你可以在汇编语言里面
[00:02:50] 直接去和操作系统交互
[00:02:51] 但是汇编你又没有办法用它来开发应用程序
[00:02:53] 所以我们就选了咳
[00:02:55] 介于C语
[00:02:57] 介于汇编语言
[00:02:59] 也就直接写机器代码和一个非常高级的你
[00:03:02] 你直接甚至是AI那种
[00:03:04] 我就一句自然语言之间的一个呃离机器最近的
[00:03:07] 但又可以写应用程序的语言
[00:03:09] 这也是最早期的时候
[00:03:11] 整个应用生态被构建起来的语言
[00:03:13] 就是C语言
[00:03:14] 然后我首先呃大家都都学过C加加
[00:03:18] 大大家进来的第一个学期就是学C加加
[00:03:21] 然后当然你们学的第一个学期学的是
[00:03:23] 相当于带STRUCT
[00:03:24] 就是有一种面向对象的呃的C语言
[00:03:27] 然后你们呃有没有一种感觉
