[00:00:00] 我我干了什么呢
[00:00:01] 我在我这是我的neo vim
[00:00:04] 这是NEWM
[00:00:05] 我按了F
[00:00:07] 然后打开了一个浏览器
[00:00:08] 我们就可以正式的开始上课了
[00:00:10] 那我们今天站在一个非常重要的呃交叉路口
[00:00:14] 你们是computer science的
[00:00:16] 同学
[00:00:16] 我们在历史上就从你们刚开始进入学校开始
[00:00:20] 讲计算机发展的历史
[00:00:22] 在计算机发展历史上
[00:00:24] 其实经历了很多次非常重要的变革
[00:00:28] 我觉得最主要的是
[00:00:29] 把昂贵的能力变成了日用品
[00:00:32] 我们在1975年的时候
[00:00:33] 有第一台PCGR泰尔8800在图片的左边
[00:00:37] 这图片也是AI生成的
[00:00:38] 你们可以看出有非常明显的呃AI word
[00:00:41] 而且它还不是一个应该不是一个特别强的模型
[00:00:44] 但没关系
[00:00:45] 我我说过
[00:00:46] 我上课是跟大家一个比较松散的讨
[00:00:49] 论和交流的过程
[00:00:50] 然后我会呃在之后再把这个课程要重新再切片
[00:00:54] 再整理
[00:00:55] 整理一次
[00:00:55] 从PC到互联网
[00:00:57] 互联网连接了我们的所有人
[00:00:59] 我至今都还记得你们没有经历过这个时代
[00:01:02] 我我那个时候可能是上小学
[00:01:04] 小学快毕业的时候
[00:01:06] 然后我装了一个软件叫做ICQ
[00:01:09] 你们没有听说过这个名字
[00:01:11] ICU叫IICU
[00:01:13] 三个字母ICQ
[00:01:14] 然后那个时候腾讯的山寨版还叫OICQ
[00:01:17] O i c q
[00:01:18] 然后后来腾讯把它改成了呃QQ
[00:01:21] 然后你你在那个时候可以随机的加一个
[00:01:23] 世界上面另一端的人
[00:01:25] 然后那时候你加到就是native speaker
[00:01:27] 就是他是跟你说英语的
[00:01:29] 然后你你然后他一下子发很多英语打的非常快
[00:01:32] 然后你你完全无法理解这个哼
[00:01:35] 他在跟你说什么
[00:01:36] 然后因为那因为那个时候
[00:01:37] 可能我们刚学一点点英语
[00:01:38] 只会hello
[00:01:40] Good morning
[00:01:41] 从互联网
[00:01:42] 然后再到移动互联网
[00:01:43] 一夜之间我我印象很深
[00:01:45] 就一夜之间
[00:01:46] 所有的菜场卖菜的人
[00:01:49] 都有支付宝和微信两个二维码
[00:01:51] 就在很短的啊时间里改变
[00:01:54] 就一直在改变我们生活的呃方式
[00:01:57] 然后到2022年的时候
[00:01:59] 是ChatGPT
[00:02:00] 人和AI是人类历史上增长最快的呃产品
[00:02:05] 我们在这样人类命运的交叉路口
[00:02:06] 我觉得呃我们上课的方式
[00:02:08] 我们该学什么
[00:02:09] 其实我们都需要思考
[00:02:12] 思考思考一下
[00:02:13] 然后就在这样的一个背景下
[00:02:15] 我决定还是应该嗯开这样的一门web coding的
[00:02:19] 呃课程为什么呢
[00:02:21] 呃前两天的时候也不是
[00:02:23] 前两天有一有一段时间之前
[00:02:25] 大家有一个说法叫AI替我上大学
[00:02:29] 诶我觉得这个说法很对
[00:02:31] 你想吗
[00:02:32] 呃老师用豆包出题
[00:02:34] 大家用豆包做作业
[00:02:36] 然后在这个整个的闭环过程当中
[00:02:38] 只有学生没有受到训练
[00:02:41] 现在外coding很厉害
[00:02:42] 呃所有的作业直接
[00:02:44] 我的操作系统
[00:02:45] 曾曾经这个操作系统的作业折磨大家
[00:02:47] 然后呃大家在痛苦的折磨中获得提升
[00:02:51] 现在不一样了
[00:02:52] 现在你直接把那个作业的链接丢到codex里
[00:02:56] 你都不需要
[00:02:57] 你都不需要有复制粘贴的过程
[00:02:58] 你只要把那个链接在
[00:03:00] 甚至你都不需要告位给他链接
[00:03:02] 你直接说那个蒋老师的操作系统课
[00:03:04] 第八个实验能不能去帮我实现
[00:03:06] 好这就结束了呃对所以在这样的时代
[00:03:12] 我们应该我们还怎么办
[00:03:14] 还还到到底应不应该学学这些编程
[00:03:17] 这样的东西
[00:03:18] 那答案肯定是既应该也不应该
[00:03:20] 有些能力你还是需要的
[00:03:22] 然后但应该怎么做
[00:03:24] 我们啊我们不知道
[00:03:25] 所以我看到的其实大家都在一种
[00:03:28] 非常焦虑的状态
[00:03:30] 状态上第一个AI帮我上大学了
[00:03:33] 那上完以后我最后怎么什么都没学会
[00:03:36] 我每门课都很好
[00:03:37] 如果假设每门课都开卷考试
[00:03:39] 那都都是AI答题
[00:03:43] 我全都答对了
[00:03:44] 但我我出来以后
[00:03:45] 我发现我被AI第一个就被AI取代了
[00:03:49] 这是第一种焦虑
[00:03:50] 那第二种焦虑是
[00:03:52] 我相信这边还有另外的同学
[00:03:54] 可能延续了你中学的时候
[00:03:57] 很听老师话的这个状态
[00:03:59] 老师说什么你就做什么
[00:04:00] 老师上课每一堂课你都认真的去听
[00:04:03] 然后每一次做你都认真的做
[00:04:04] 然后做完了以后
[00:04:05] 你发现4年毕业的时候
[00:04:06] 你被大学骗了
[00:04:08] 你你确实学会了点什么
[00:04:10] 但是你学会的东西AI都会做
[00:04:14] 然后那你也很迷茫
[00:04:15] 然后这个时候
[00:04:16] 当然你你我觉得同学们最切实的
[00:04:19] 你们现在呃的最痛苦的事情就是保研
[00:04:24] 你们投了很多的简历
[00:04:26] 给海投很多的地方的简历
[00:04:29] 然后我其实也也收到了很多这样的呃简历
[00:04:33] 我我觉得我觉得很糟糕
[00:04:38] 这个这是一个
[00:04:40] 这这是一个简历
[00:04:41] 我我我用
[00:04:42] 首先所有这一切都是AI做的
[00:04:45] 我没有我没有干任何事
[00:04:47] 我我就告诉他有一份简历
[00:04:49] 然后我现在需要在上课的时候展示一下
[00:04:52] 那我需要把他个人信息给去掉
[00:04:54] 那么这这是它把它字符替换成UNICODE的方块
[00:04:59] 如果复制粘贴的话
[00:05:00] 你会看到这是一个黑色的方
[00:05:02] 就是方块的呃字符
[00:05:04] K希望他希望他把把这个隐私都都隐掉了
[00:05:09] 然后就这样的一份简历就非常完美的简历
[00:05:15] 一个CCF
[00:05:17] 期刊列列表上面的论文
[00:05:20] 然后accepted
[00:05:22] 然后有有这个
[00:05:24] 当然大家都说再投就等于不存在
[00:05:26] 因为你你看不到
[00:05:29] 但这个简历对我来说是一个零分的简历
[00:05:32] 因为没有没有额外的信息
[00:05:34] 它甚至没有一个GITHUB的链接
[00:05:37] 没有一个个人的主页
[00:05:38] 没有一篇这个东西有PREPRINT
[00:05:42] 这是就这是一个
[00:05:45] 我我我不知道这位同学发生了什么
[00:05:47] 但是呃对我来说
[00:05:50] 这样的一份简历非常的呃非常的糟糕
[00:05:54] 然后更糟糕的是我收到过无数份这样的简历
[00:05:59] 然后可能你们的简历多多少少
[00:06:00] 也是长长这个样子的
[00:06:03] 然后这个时候就你发现
[00:06:04] 你和你的竞争者已经无法区分了
[00:06:07] 所有人都是我有一大堆实习
[00:06:09] 一大堆奖项
[00:06:09] 一大堆论文
[00:06:10] 一大堆在头
[00:06:12] 那是什么能让你从这些简历里面脱颖而出
[00:06:17] 对
[00:06:17] 就如果刚才那份简历都被我认为是零分的简历
[00:06:20] 你你们你们应该怎么样向你的未来的导师
[00:06:24] 去展示你自己
[00:06:26] 然后所以所以我
[00:06:27] 我相信这个在座的同学都非常的呃焦虑
[00:06:30] 但是好消息是
[00:06:31] 我觉得我我希望用呃这一门课来缓解一下
[00:06:35] 大家这样的焦虑的情绪
[00:06:37] 更多的是带大家觉得还原一种快乐
[00:06:41] web coding的快乐
[00:06:42] 因为我觉得在web coding中我得到了很多的快乐
[00:06:45] 然后在这个快乐当中
[00:06:46] 你们又能呃一定程度上呃去理解
[00:06:49] 比如说软件工程是怎么工作的
[00:06:51] 然后能做出呃做出一些有趣的东西
[00:06:54] 然后能让你的简历显得啊显得显得更好看对
[00:06:57] 对我来说
[00:06:58] 其实我觉得你有一篇发表论文
[00:07:00] 可能是一个简简分项
[00:07:01] 但可能对对对很多其他人来说
[00:07:03] 可能还还还不是的
[00:07:05] OK所以我讲了
[00:07:06] 为什么我我要来上
[00:07:08] 这门课
[00:07:09] 然后那我们来讲讲这门课
[00:07:12] 到底打算讲什么
[00:07:15] 这门课的题目叫生成式软件工程
[00:07:17] 所以我其实是是一门软件工程课
[00:07:19] 软件工程做什么呢
[00:07:20] 软件工程做的事情很简单
[00:07:22] 怎么样让软件工程不失败
[00:07:24] 就怎么样造出一个呃一个软件来
[00:07:28] 那我们经常听说的说
[00:07:31] 你你们作为人和AI比你的优势在哪里
[00:07:34] 你可以坐牢
[00:07:35] AI不能是这样
[00:07:38] 实际上我觉得大学里面能能教你的
[00:07:41] 有呃或者说能OK你
[00:07:44] 你作为人吧
[00:07:44] 或者说你在大学毕业的时候
[00:07:45] 你能拥有的能力
[00:07:47] 比较重要的
[00:07:48] 第一个是信息差
[00:07:49] 这是人类社会比较
[00:07:52] 也也不能说可悲吧
[00:07:53] 它人类社会要要进步必须的
[00:07:55] 必须有的事情
[00:07:56] 你你有信息差
[00:07:58] 你有别人不知道的信息
[00:07:59] 你才能做别人做不到的事
[00:08:01] 所以所以在学校里面
[00:08:03] 多多少少里面也会有这种恶性竞争
[00:08:05] 假你假想一个情况
[00:08:06] 你拥有一个往年试卷
[00:08:08] 然后这个往年试卷别人都没有
[00:08:10] 然后
[00:08:11] 那你真你你就可以在竞争当中胜出
[00:08:13] 这是一种种你们身边的信息差
[00:08:16] 当然还有很多其他的这个不能说的信息差
[00:08:20] 在社会上面广泛的啊存在
[00:08:22] 除了信息差以外
[00:08:23] 你你作为一个人的优势是你可以做到
[00:08:26] 但是大学里面真正教你的是
[00:08:28] 怎么样成为一个更好的人
[00:08:30] 就是你能够驾驭别人驾驭不了的东西
[00:08:32] 你在大学毕业的时候
[00:08:33] 你可以说哦我可我是一个更好的人
[00:08:35] 然后呃我有一个别人没有的能力
[00:08:38] 所以可能呃这门课试着试着去帮大家建立
[00:08:44] 驾驭人工智能的啊能力
[00:08:47] 所以这门课怎么上呢怎么上
[00:08:49] 我希望呃用一个案例为主的
[00:08:52] 一个比较松散的组织
[00:08:54] 所以如果你们有有有兴趣来
[00:08:56] 比如说想跟我讨论一下的同学
[00:08:57] 就想想想challenge
[00:08:59] 我说诶这个老师你你这样做不对
[00:09:01] 那那就欢迎大家来线下
[00:09:03] 然后如果你是一个听课型的同学
[00:09:05] 就是你你希望从这门课里面呃获取知识
[00:09:09] 那我我是完全建议大家就既不用到课
[00:09:13] 也不用看直播
[00:09:14] 因为我我我这
[00:09:16] 我今年也想想做一个呃非常有趣的尝试
[00:09:20] 你已经看到了
[00:09:21] 这是我的呃slides
[00:09:24] 这是这是我的slides
[00:09:26] 然后我按F5的时候可以播放
[00:09:27] 然后你可以看到这个F5播放的slides
[00:09:30] 和刚才那个markdown是有点不一样了
[00:09:36] 啊我把它关掉
[00:09:38] 左边是我上课之前写的讲义
[00:09:41] 就相当于我我会先想好
[00:09:43] 我我今天上课的时候
[00:09:44] 我大概在才这个时间应该讲什么
[00:09:47] 举什么样的例子
[00:09:48] 相当于我要约约束好AI做什么
[00:09:51] 然后当你看到F5播放这个slides的时候
[00:09:53] 有这个紫色的部分
[00:09:55] 紫色部分就是GPT-5.6
[00:09:57] so给我添油加醋
[00:09:58] 加上去的部分
[00:09:59] 我有一个呃提示词
[00:10:01] 一会
[00:10:02] 我现在应该就可以给大家看一下
[00:10:08] 嗯对有一有一个提示词
[00:10:10] 大概是嗯是这样
[00:10:13] 就一个呃一个skill叫叫mix lights
[00:10:16] 然后我就可以从一个呃我我的一个markdown
[00:10:20] 就我写好的那个演讲稿里面
[00:10:22] 让他添油加醋的去去去做点有趣的事情
[00:10:25] 比如说
[00:10:30] 比如说我有一个类似于我的AI耿同学的skill
[00:10:34] 我会我会出让它生成三个sub agent
[00:10:38] 然后给他们赋予不同的personality
[00:10:41] 这个呃这个这个非常有效果
[00:10:43] 他们就有有的阵会干这个
[00:10:45] 有些人会干那个他在隔离的上下文里
[00:10:47] 然后最后我的主H会回来汇总
[00:10:49] 这样我就可以通过算力来换智力
[00:10:52] 我付出更多的算力
[00:10:53] 我就有更多的智力
[00:10:54] 所以所以我我是其实经过对比了
[00:10:56] 我我换了几个版本的提示词
[00:10:59] 然后每一个版本提示词我都会重新生成一次
[00:11:02] 然后我最终会有一个review
[00:11:03] 另外一个别的模型
[00:11:06] 在盲评到底哪一个生成的slides的质量比较高
[00:11:11] 然后我我基本上我就调到了一个
[00:11:13] 可能相对来说啊质量比较高的这个slides
[00:11:16] 所以你看到比如说图片都是全部都是生成的
[00:11:19] 所有的图片都是啊生成的对
[00:11:25] 所以我希望的是探索一条能够真正杀死大学
[00:11:29] 所有人的呃路径
[00:11:31] 我认为啊如果你是来学习的
[00:11:33] 那更高效的方法
[00:11:35] 比如说我作为一个老师
[00:11:36] 我我应该思考的是
[00:11:38] 怎么样把知识以更好的方式呈现给大家
[00:11:42] 而我的答案是我应该在上课的时候
[00:11:46] 上课是一种表演嘛
[00:11:47] 比如说我我说我是个演员
[00:11:49] 要调动大家的情绪
[00:11:50] 然后我上课的时候跟大家交流
[00:11:53] 然后根据我的预先设定好的剧本去做一场演出
[00:11:58] 然后在演出完了以后
[00:12:00] 我需要做一件很重要的事
[00:12:02] 是
[00:12:02] 我要review我今天的表演
[00:12:05] 因为我有的时候我今天举这个例子
[00:12:07] 可能不是特别的恰当
[00:12:08] 或者在我回回过头来的时候
[00:12:11] 我想到也许我讲另外一个案例
[00:12:14] 大家能够更加的感同身受
[00:12:15] 因为你看到我在上课的时候
[00:12:17] 有些部分是即兴的
[00:12:18] 但即兴就意味着其实不完美的
[00:12:20] 而我在课后我会把我的课程
[00:12:23] 因为我我录像了
[00:12:24] 大家看到这个录像
[00:12:26] 我可以把课程的录像切片重新整理成片段
[00:12:32] 因为我是从这样的content test code来的
[00:12:37] everything is cold
[00:12:38] everything is cold
[00:12:40] 我就可以把我上课的那个录像
[00:12:43] 就这次的表演重新回到这个cold上
[00:12:46] 把它变得更丰富
[00:12:47] 然后我不就实现数字数字永生了吗
[00:12:50] 我就实现了一个课程的
[00:12:53] 数字数字永生
[00:12:57] 对
[00:12:58] 然后你看到就是我
[00:12:59] 我的这套slides是怎么工作的
[00:13:01] 我的这个流程是怎么工作的
[00:13:03] everything is cold
[00:13:05] 你能看到这个世界里面的一切
[00:13:07] 都可以用代码来来生成
[00:13:09] 包括这个桌子
[00:13:11] computer aid design c AD这个桌子椅子电脑
[00:13:15] 那这个slides是怎么工作的呢
[00:13:17] 刚才你看那个markdown是是source of truth
[00:13:20] 然后你看到的所有的其他东西
[00:13:22] 图片幻灯片全部都是啊AIGC
[00:13:26] 然后我我会我会把这个选中的snippet
[00:13:30] 用agent去扩写
[00:13:31] 变成markdown slides
[00:13:32] 再到浏览器里面
[00:13:35] 渲渲染出来
[00:13:36] 然后
[00:13:38] 我希望的是能够切片的方式得到一个完美的
[00:13:42] 比如说我我今天要讲生成式软件工程
[00:13:44] 它的呃要点是什么
[00:13:47] 逻辑是什么
[00:13:47] 第一节课应该怎么上
[00:13:49] 沉淀成一个程序
[00:13:51] 然后这个程序也许也许现在是由我维护的
[00:13:54] 也许比如说有一天我不维护了
[00:13:55] 系统课
[00:13:56] 我现在不上了
[00:13:57] 我会把操作系统课
[00:13:58] 我的B站的录像整理成这样的切片
[00:14:00] 然后可以由全世界的人来维护它
[00:14:03] 你想要定制一个什么样的我的操作系统分
[00:14:06] 你可以把它定制成成什么样子
[00:14:08] 然后这不就把所有的这个大学
[00:14:12] 教课的方式给巅峰了嘛
[00:14:14] 我觉得这是一个可能实现的路线
[00:14:16] 所以我会在这门课上做一个比较轻的尝试
[00:14:19] 也欢迎大家在随时可以给到我呃反馈
[00:14:25] OK好
[00:14:26] 所以我这门课the policy是
[00:14:31] 我希望重新找回同学们心中在大学的时候
[00:14:36] 那种上课耽误学习的感觉
[00:14:39] 就虽然可能你们还是要上课
[00:14:40] 但是我推荐大家第一个你们可能可以不要上课
[00:14:43] 然后你们可以去在这门课上
[00:14:46] 实践
[00:14:47] 我会带着大家实践
[00:14:48] 我后面有很多真正实践的案例
[00:14:51] 然后让你们知道在AI的时代
[00:14:53] 你们学习的方式变了
[00:14:54] 你们工作的方式也变了
[00:14:56] 你们可以尽快的适应这样的一个
[00:14:58] 非常有趣的时代
[00:15:00] 然后我的要求是禁止古法编程
[00:15:02] 就是我我相信你们个个都是古法编程的好手
[00:15:06] 因为你们要考试
[00:15:07] 马上你们要保研
[00:15:08] 要机试了
[00:15:09] 要记事的时候就把你们一关小黑屋一关
[00:15:11] 你们看过我以前出的题
[00:15:12] 然后就吓尿了
[00:15:13] 然后赶快再去LISCODE上再刷刷一下
[00:15:16] 但嗯我觉得总有一天
[00:15:19] 这个这个事情会会会改变的
[00:15:22] 可能从上而下传导不会那么快
[00:15:26] 就是你要改变一个体系很难
[00:15:27] 但是呃我我非常想要撕开一个小的小的口子对
[00:15:33] 然后有几个policy
[00:15:34] 第一个啊token自费
[00:15:37] 因为本来本来我是想去拉一些赞
[00:15:39] token的赞助的
[00:15:40] 想拉一些赞助token
[00:15:41] 然后但但是我当我看到那个选课的学生
[00:15:45] 的时候数量的时候我就想哎还是算了
[00:15:47] 我
[00:15:48] 我我也没有必要再去这个跟他们
[00:15:51] 拉着脸去
[00:15:52] 要要好多好多的token也比较麻烦
