[00:00:00] 上一节课我们讲了文件系统增删改
[00:00:03] 查那个部分的API
[00:00:04] 因为你们已经非常熟练的
[00:00:05] 可以在windows的那个资源管理器里面右键
[00:00:08] 然后新建一个目录
[00:00:09] 然后可以编辑一个文本文件
[00:00:11] 这些其实都是大家非常熟悉的AAPI
[00:00:13] 然后我们知道了
[00:00:14] 像make directory
[00:00:16] 然后link
[00:00:17] UNLINK
[00:00:17] sim link这样的机制
[00:00:19] 你不仅可以呃创建一个普通的文件
[00:00:21] 而且你还可以创建两份指针
[00:00:23] 指向完全相同的一个文件
[00:00:25] 你你两个他们可能是不同的名字
[00:00:27] 但是一份改了
[00:00:28] 另一份会会跟着同步的修改
[00:00:31] 我们也可以做一个像快捷方式一样的符号链接
[00:00:34] 以及我们可以在文件上面可以标注一些属性
[00:00:37] 从UNIX默认的这个mod
[00:00:40] 比如说读写执行的权限
[00:00:42] 然后到比如说windows里面
[00:00:44] 其实fat里面是没有这些读写执行的权限
[00:00:46] 但是它有一些其他自己的这个文件的metadata塔
[00:00:49] 然后到呃extended的tributes
[00:00:52] 可以
[00:00:52] 允许你把任意的一个key value的值写到一个文件里
[00:00:56] 并且带着这个值来值来跑
[00:00:58] 然后我们上节课讲的都是这些
[00:01:00] 相对来说比较简单的对文件的一小步操作
[00:01:03] 增删改改查
[00:01:05] 然后我们当然可以写一个应用程序
[00:01:07] 来管理很多这样的文件
[00:01:09] OK没问题
[00:01:10] 但是操作系统上面能干的事情远远不止于此
[00:01:14] 所以我今天就会说
[00:01:15] 在增删改查的基础上
[00:01:16] 我们现在可以设计真正的文件系统级的API了
[00:01:21] 在上节课的时候
[00:01:21] 我觉得有一个比较有趣的API是mount挂载
[00:01:24] 挂载就是一个文件系统级的API
[00:01:26] 他他说我我可以把一个快设备
[00:01:29] 一个字节序列的抽象
[00:01:31] 然后把这个
[00:01:32] 比如说一个甚至是文件系统里有一个文件
[00:01:34] 可以通过一个回环设备
[00:01:36] 任何一个设备快
[00:01:37] 设备
[00:01:37] 都可以把上面的文件系统挂载到目录树当中
[00:01:41] 诶
[00:01:41] 这就在目录树里面创建了一个新的目录
[00:01:44] 呃然后它里面有好多好多的东西
[00:01:46] 这个很有趣
[00:01:47] 所以今天呢我们的思路是
[00:01:48] 回到这样的一个根本的问题上
[00:01:50] 文件系统我们说是一个数据结构
[00:01:52] 它是一个action data type
[00:01:55] 既然它是数据结构
[00:01:57] 理论上说是我们可以定义这个数据结构上面的
[00:02:00] 各种各样的操作的
[00:02:01] 比如说你们学数据结构的例子
[00:02:04] 如果是个persistent data structure
[00:02:06] 就是一个我前面说的可以用
[00:02:08] 呃append only和random read去实现任何一个数据结构
[00:02:12] 那我就可以回到历史上的任何一个时间点
[00:02:15] 我我可以把所有的呃历史的版本都记下来
[00:02:18] 然后可以回退到过去的一个快照
[00:02:20] 以及你们可能有在在学算法的时候
[00:02:23] 解解决过这样的问题
[00:02:24] 比如说你你要维护一个集合
[00:02:26] 那么三五十好任何一个集合
[00:02:30] 那那你肯定是做一个这个set of int
[00:02:32] 但如果你你的数据结构是有
[00:02:34] 可能是是可以对它做一个全局操作的
[00:02:37] 比如说你可以对它所有的元素都加十
[00:02:40] 那对所有元素都加十
[00:02:42] 你可以这样实现
[00:02:43] 就是你遍历一遍三五十
[00:02:45] 然后每个都加十变成十三十五和和20
[00:02:48] 但是你还有另外一种实现方法
[00:02:50] 就是把这个加十
[00:02:52] 悄悄地写到这个数据结构的边上
[00:02:54] 那那我现在取一个元素
[00:02:55] 比如说取出来是五
[00:02:56] 要加上十
[00:02:57] 我才返回15
[00:02:58] 那如果我现在要插入一个
[00:02:59] 比如说我现在我要insert一个
[00:03:02] 比如说九加到这个集合里
[00:03:05] 那我应该怎么办呢
[00:03:06] 我不应该去改这个这个加十是永远带着的
[00:03:09] 就是所有元素都加十
[00:03:10] 永远带着的
[00:03:11] 我应该插入一个一
[00:03:13] inside9我会把一
[00:03:14] 因为我现在带的这个正十
[00:03:15] 所以把这个一插到这个集合里面
[00:03:17] 我取出来就是九
[00:03:19] 数据结构里面有很多这样的有意思的trick
[00:03:22] 使得你们可以做
[00:03:23] 比如说哎我可以对于比如说一个数组
[00:03:25] 然后我可以对于一整个数组的中间一个区间
[00:03:28] 比如说加上一级
[00:03:29] 加上一个值
[00:03:30] 然后你依然可以得到一个很好的呃时间复杂性
[00:03:33] 就数据结构里面
[00:03:34] 我们可以干很多这种很fancy的事情
[00:03:36] 那凭什么文件系统不能干呢
[00:03:39] 凭什么文件系统不能干
[00:03:40] 所以呃我今天就干四件事
[00:03:43] 其实啊主要有三件事
[00:03:45] 第一件事情是监控
[00:03:46] 有点像我刚才说的那个
[00:03:48] 数据结构维护一个flag的例子
[00:03:50] 然后有一个是快照
[00:03:51] 我可以对文件系统整个做快照
[00:03:53] 然后以及是文件系统的一个覆盖
[00:03:55] overlay或者union也是一个很好玩的特性
[00:03:58] 有了docker
[00:03:59] 然后最后还有一个终极的虚拟化
[00:04:01] 既然文件系统是数据结构
[00:04:02] 凭什么我不能就实现一个数据结构
[00:04:04] 把它充当文件系统呢对吧也是可以的
[00:04:06] OK那首先就是呃文件系统的监控
[00:04:11] 你们有这样的一个需求
[00:04:12] 很正常的需求
[00:04:13] 就是在文件系统改变以后
[00:04:15] 希望通知我
[00:04:16] 然后最好是通知你的时候
[00:04:17] 还告诉你哪一个文件变了
