[00:00:00] 好我我们前面已经讲了virtualization和concurrency
[00:00:04] 两个部分都都结束了
[00:00:05] 我们讲了一个经典的UNIX上面的进程世界
[00:00:08] 和系统调用上的世界
[00:00:10] 我们从底层的最底层的system call开始
[00:00:13] 一层一层构建
[00:00:14] 像live c
[00:00:14] 然后在系统内容上面构建出整个LINUX应用的世界
[00:00:18] 然后讲完这个基本的UNIX世界以后
[00:00:20] 我们就往外面扩展了一点点
[00:00:22] 我们介绍了一个新的API
[00:00:24] 呃现成的SPN和join
[00:00:25] 然后在这个SPN和join的时候
[00:00:27] 其实打开了一个魔鬼的盒子
[00:00:28] 我们从入门到放弃
[00:00:30] 然后讲到后面的各种各样的并发编程的模型
[00:00:33] 虽然你都是可以用这个SPA一个线程来理解
[00:00:36] 但是像在并行计算里面
[00:00:37] 在异步的计算
[00:00:38] JAVASCRIPT里面
[00:00:39] 还有在异构的计算
[00:00:40] 在GPU里面
[00:00:41] 它编程的方式其实有一点点呃不一样的
[00:00:44] 因为嗯为了加速
[00:00:46] 或者说为了呃有些可能是为了程序员的考虑
[00:00:49] 有些可能是为了硬件实现的高效
[00:00:51] 然后他就有了不同的编程模型
[00:00:53] 然后所以呃在前面这些内容结束以后
[00:00:56] 我就可以终于补上最后操作系统课的一个部分
[00:00:59] 就是操作系统里面的对象
[00:01:01] 我们前面在讲系统调用的时候讲了很多
[00:01:03] 说唉有操作系统的对象
[00:01:04] 这样我们可以用open来打开它
[00:01:06] 然后我们可以得到一个得到一个文件描述符
[00:01:08] 文件描述符是一个非常非常重要的概念
[00:01:11] 它是一个指向操作系统对象的一个handle
[00:01:13] 一个把柄
[00:01:14] 然后在UNIX的和LINUX的设计里面
[00:01:17] Everything is a fire
[00:01:17] 所以呃你你可以用各种各样的对象
[00:01:21] 都是用同一个API来访问的
[00:01:23] 比如说我们有PROCFS
[00:01:24] 你如果想要知道呃进程数是长什么样的
[00:01:28] 你可以去profs里面便利目录
[00:01:30] 然后如果你想要知道一个进程的地址空间的话
[00:01:32] 你可以看那个杠pro下的PID下的maps那个文件
[00:01:35] 可以把那个东西读出来
[00:01:36] 所以通过文件系统的API就可以访问一切
[00:01:39] 然后我们当时是呃告诉大家
[00:01:42] OK操作系统里面有一些这样的对象
[00:01:44] 有有TTY就是我们的终端字符终端
[00:01:47] 然后有我们的disk
[00:01:48] 有磁盘
[00:01:48] 然后有各种各样的东西
[00:01:49] 我们都可以直接直接用它
[00:01:51] 然后我今天会把这样的一个
[00:01:53] 黑盒子给大家打开
[00:01:55] 然后展开来讲
[00:01:56] 我们的呃计算机系统里面的这些IO设备
[00:02:00] 到底是呃怎么实现的
[00:02:02] 然后再到啊这IO设备怎么抽象
[00:02:04] 然后怎么做成我们今天的呃文件系统
[00:02:06] 所以我今天就正式开始persistence的部分
[00:02:09] 当然persistence的第一课
[00:02:10] 可能和和persistence就是持久性的
[00:02:13] 数据的存储没有太大的关系
[00:02:14] 但啊我有必要来讲一讲
[00:02:17] 输入和输出设备
[00:02:18] 其实啊这里很有意思
[00:02:20] 你们在第一次接触电脑的时候拿到
[00:02:23] 可能你们上小学的时候
[00:02:25] 上计算机课的电脑课的时候
[00:02:26] 或者你们家里面就就一台电脑的时候
[00:02:29] 你们看到的那个东西
[00:02:30] 你会呃不由自主认为它它叫电脑
[00:02:33] 比如说比如说你们看到的就是这样的一个键盘
[00:02:36] 这里的一个键盘
[00:02:37] 然后这样的一个屏幕
[00:02:38] 这样的一个这些东西看到的是
[00:02:41] 你会认为这些东西加起来是个电脑
[00:02:43] 然后电脑有一个主机的机箱
[00:02:45] 但实际上你看到的计算机
[00:02:47] 或者说你你跟计算机打交道的时候
[00:02:49] 你并不是直接和电脑打交道哈
[00:02:51] 而不是和CPU内存
[00:02:52] 我们上课的时候花了很多时间上数字逻辑电路
[00:02:56] 讲逻辑门
[00:02:57] 然后计算机系统基础讲CPU
[00:02:59] 然后我们花了很多时间
[00:03:00] 其实我们讲的东西都是你在使用电脑的时候
[00:03:03] 看不见的
[00:03:04] 你看见的所有东西都是IO设备
[00:03:06] 你仔细想一想
[00:03:07] 你是用键盘和鼠标操纵的
[00:03:10] 然后你看到的是一个屏幕上面显示出来的内容
[00:03:13] 我们computer science专业学的是那个底下看不见的
[00:03:16] 呃东西
[00:03:17] 然后说看见的
[00:03:18] 实际上当我们谈论电脑的时候
[00:03:19] 你看到的是屏幕上这些像摄像头
[00:03:21] 鼠标
[00:03:22] 打印机啊啊这些东西是和电脑电脑相关
[00:03:25] 然后这些东西统一有一个名字
[00:03:27] 叫做输入输出设备
[00:03:28] 那为什么它要叫输入输出设备呢
[00:03:32] 你们有没有想过想过
[00:03:34] 因为你们在计算机系统基础课上
[00:03:36] 其实也会讲叫中断和IO那个部分
[00:03:38] 它的IOIO就是input and output
[00:03:41] 输入和输出
[00:03:42] 而所谓输入和输出的设备
[00:03:44] 它是整个计算机
[00:03:45] 就是你看不见的那个部分
[00:03:46] 和物理世界之间的一个一一个桥梁
[00:03:49] 所谓的一个IO设备
[00:03:50] 它简单的甚至是我觉得是不能再简单了
[00:03:53] 它的模型就是一个能与CPU交换数据的接口
[00:03:56] 或者一个控制器
[00:03:58] 也就是说任何一个你能够想象的
[00:04:00] 它可能很简单
[00:04:00] 也可能很复杂的一个东西
[00:04:02] 只要它能够和CPU交换数据
[00:04:04] 它就能成为一个IO设备
[00:04:07] IIO设备
[00:04:07] 然后IO设备因为既然是input output
[00:04:10] 从当然是站在CPU的角度看
[00:04:12] 你你站在CPU角度上输入和输出
[00:04:15] 是是向机器内输入
[00:04:16] 然后向机器外输出
[00:04:18] 但如果你站在机器的外面
[00:04:20] 外面的角度的话
[00:04:21] 你又输入和输就会反过来
[00:04:23] 所以他是按照呃按照C从CPU的角度来来看
[00:04:26] 然后这些输入和输出设备
[00:04:28] 使得我能够获取来自系统外的数据
[00:04:33] 以及我可以把我CPU里面算出来的数据
[00:04:36] 推到系统的外面
[00:04:37] 也就是说你呃呃everything is a state machine
[00:04:39] 我们在在那个呃写NEMU实验的时候
[00:04:42] 有一个CPU state
[00:04:43] 然后这个CPU state本身是不能干涉
[00:04:46] 我们的物理世界的
[00:04:47] 它就是在里面一些呃register
[00:04:50] 然后一些memory的
[00:04:52] 具体的零和一
[00:04:53] 然后如你的你的计算机想要能够干涉这个世界
[00:04:56] 有点像我们大脑
[00:04:57] 我们的大脑是封在我们的呃颅骨里面的
[00:05:00] 嗯如果我们想要感受这个世界
[00:05:02] 我们就需要用我们的眼睛
[00:05:04] 耳朵
[00:05:04] 假如我们想要改变这个世界
[00:05:06] 就需要用我们的手和脚
[00:05:07] 所以同样的也是的IO设备
[00:05:09] 就是计算机的手和脚
[00:05:11] 这也解释了为什么我们我刚才说
[00:05:13] 你们在第一次用电脑的时候
[00:05:14] 其实你看到那个电脑
[00:05:16] 其实你跟它交互的是是各种各样的IO设备
[00:05:19] 然后L设备的模型呢也可以很简单
[00:05:22] 基本上基本上你可以可以这样理解
[00:05:24] 这是一个叫canonical device model
[00:05:26] 我们的首先CPU里面是有寄存器的
[00:05:30] 那你你需要算数字
[00:05:32] 你需要load store
[00:05:33] 你可能都需要
[00:05:34] 往寄存器里面读值或者写值
[00:05:36] 然后你同样的也可以把IO设备
[00:05:38] 看成是若干个寄存器
[00:05:40] 然后这个寄存器
[00:05:41] 当然它是以某种线的方式连接到你的
[00:05:44] 计算机里的
[00:05:45] 你可能是像X86里面
[00:05:47] 你们学的那个in和out指令
[00:05:49] 你需要一个额外的地址
[00:05:50] 每个寄存器就有一个编号对吧
[00:05:52] 你一号2号三号四号
[00:05:54] 你是从一号的计算器里面读
[00:05:56] 或者往2号寄存器里面写
[00:05:57] 然后你也可以用一个物理的电路
[00:06:00] 在你的处理器或者执行load store的时候
[00:06:04] 你你做加一个判断
[00:06:05] 你相当于你如果模拟一个内存
[00:06:07] 如果这个地内存地址是0X123456
[00:06:10] 那么你就去从设备的那个寄存器里面
[00:06:13] 把他的纸给送过来
[00:06:14] 这件事情是完全可以可以可以做到
[00:06:16] 就是一个呃多路选择器
[00:06:18] 哎你就可以可以做到
[00:06:19] 所以呃说白了从CPU来看
[00:06:22] 无论这个设备有多么的复杂
[00:06:25] 复杂到可能我今天带了一个呵
[00:06:27] 带了一个这个显卡
[00:06:29] 一块真正的显卡
[00:06:31] 然后到甚至是一个小的这个led灯
[00:06:34] 你都可以这样理解
[00:06:35] 它有好多个寄存器
[00:06:36] 然后我们的CPU可以访问访问这个计算器
[00:06:39] 然后这样这个接口就把设备本身的复杂性
[00:06:43] 这个设备可能很复杂
[00:06:44] 它能打印
[00:06:45] 一个打印机它里面有很多的机械部件
[00:06:47] 但是我们的CPU完全不用看到他
[00:06:48] 他看到都是呃状态命令和数据
[00:06:52] 比如说三个寄存器也可以有更多的呃寄存器
[00:06:55] 但这三个就就就基本上就够了
[00:06:58] 你可以从CPU里面去读取一个设备
[00:07:01] 它比如说有没有ready
[00:07:03] 他现在是不是正常工作
[00:07:05] 你可以从status里面读到值
[00:07:06] 然后你可以给设备送一个命令
[00:07:08] 比如说这个你可以开始打印了
[00:07:09] 或者是你要结束当前的任务
[00:07:11] 然后你还可以呃读写这个
[00:07:13] 所以就是就就就是就是这么简单
[00:07:16] 当然了
[00:07:17] 实际上
[00:07:18] 一个真正的IO设备有可能还会向CPU发送中断
[00:07:21] CPU有一根中断线
[00:07:23] 比如说时钟中断
[00:07:24] 时钟中断可能是CPU自己产生的
[00:07:26] 但是时钟中断就可以保证
[00:07:28] 我们的操作系统处于一个霸权的地位
[00:07:30] 它一个死循环的程序
[00:07:32] 不能不能把操作系统给给卡死
[00:07:34] 然后我们的IO设备在在有有一些
[00:07:37] 比如说数据到来以后
[00:07:38] 他也可以向CPU发送一个终端
[00:07:39] 不过这个这些数据是
[00:07:41] 这些事情都是操作系统来处理的
[00:07:43] 你可以想象的是
[00:07:44] 你可以想象的是我们的CPU
[00:07:46] 比如说你们mu模拟的
[00:07:48] 然后它它它连了一根线
[00:07:50] 然后连了一根线以后
[00:07:52] 我们的设备上面有registers
[00:07:54] 设备上的register
[00:07:55] 然后当然CPU也有一根线条中断
[00:07:57] 这个设备
[00:07:58] 当然以某种方式会会把这根中断线也连上
[00:08:01] 然后会给它一个
[00:08:02] 比如说低电平触发
[00:08:03] 就会给他一个低电平
[00:08:04] 然后CPU就会啊就会响应中断
[00:08:06] CPU是是怎么怎么消化这个中断呢
[00:08:10] 你可以这样理解
[00:08:11] 就比如说有一个T1device
[00:08:13] 你可以想象的是操作系统本身也可以创建线程
[00:08:16] 它也可以执行
[00:08:17] 然后他又创建一个叫t device的线程
[00:08:18] 然后这个t device线程它会P1个信号量
[00:08:21] 对P1个信号量
[00:08:22] 它就weight
[00:08:23] 相当于是肯定是weight
[00:08:23] 我要等待一个中断的数据
[00:08:25] 然后这个中断处理程序当中断来了以后
[00:08:28] 我就会跳转到一个中断处理程序
[00:08:30] 这是一个强制的挑战
[00:08:32] 如果如果我的处理器没有关中断的话
[00:08:34] 这个处理器就会立即执行
[00:08:36] 一个预设好的跳转指令
[00:08:38] 跳转到一个嗯我可以配置的地址上
[00:08:40] 然后那个地址上也是操作系统的代码
[00:08:42] 操作系统代码就可以执行一个V3
[00:08:45] 中断来了以后就相当于执行一个VCM
[00:08:47] 然后这样我就把这个t device给唤醒了
[00:08:49] 这样呃后面比如说中断返回了以后
[00:08:52] 我操作系统可以再选一个线程
[00:08:53] 执行的时候
[00:08:54] 他会选到自己这个t device的线程
[00:08:56] 原理上大概是这样
[00:08:57] 但是实际操作系统实现可能会稍微复杂一点
[00:08:59] 但就跟你们在用户台的时候
[00:09:01] 写这个多线程的程序是是类似的
[00:09:03] 在中断里面会通知另外一个线程终南到来了
[00:09:07] 这就这就是IO设备
[00:09:08] 我就讲完了
[00:09:09] 我今天课就就就全部讲完了
[00:09:11] 当然也没有讲完
[00:09:12] 我会从简单到复杂
[00:09:14] 带大家真正了解一下
[00:09:16] 就这样的一个非常非常小的
[00:09:18] 一个非常薄的这层接口
[00:09:20] 是怎么样变成真正的各种各样的
[00:09:23] 输入输出设备的
[00:09:24] 比如说嗯我们的第一个
[00:09:27] 第一个最简单的设备就是一个灯
[00:09:30] led灯
[00:09:31] led灯甚至
[00:09:33] 它只需要一个可写的寄存器就可以了
[00:09:36] 你可以这样想
[00:09:37] 如果我的CPU想要控制一个灯呢
[00:09:39] 我当然不需要什么中断线
[00:09:40] 现在这些东西我只需要有一个内存地址
[00:09:44] 有有一个
[00:09:45] 然后这个内存地址映射到了一个寄存器
[00:09:48] 然后这个寄存器直接连一个发光二极管的灯
[00:09:51] 然后我可以给这个寄存器零或者一
[00:09:54] 然后这个发光二极管就可以闪或者闪或者不闪
[00:09:57] 甚至在后面这个寄存器是可以直接连到
[00:10:00] 连到这个连可能连一个电阻
[00:10:02] 然后直接连到呃发光二极管上的
[00:10:04] 然后这件事情嗯在你们的PC上面比较难难实现
[00:10:09] 但是在我的树莓派上
[00:10:11] 这些实现实现就其实其实比较容易
[00:10:12] 所以我今天还特意带了一些
[00:10:15] 比较有有有趣的设备
[00:10:16] 我我一会会回到这个摄像头
[00:10:18] UVC的
[00:10:19] 摄像头这个设备我先把它插上
[00:10:22] 然后我把它这是一个摄像头
[00:10:25] 这是个摄像头
[00:10:26] 插上以后应该可以打开
[00:10:28] 一个video0很好
[00:10:30] 他的视频流有一点有点小问题
[00:10:33] 这是个小的放大型的显微镜
[00:10:35] 然后我在这里就可以看到
[00:10:37] 这是我的电源的led灯
[00:10:39] 诶糟糕
[00:10:41] 我不小心碰到了那个电源的按钮
[00:10:43] 然后我把它关掉了
[00:10:44] 这是电源底下的一个灯
[00:10:47] 然后现在它是常亮的
[00:10:49] 然后我在这里写了一段程序
[00:10:52] 携带程序
[00:10:53] 这个程序可以控制这个led灯
[00:10:55] 它就是一个普通的呃C代码
[00:10:57] 然后它有一个文件系统里面的路径
[00:11:01] 叫cs下的class下的LED下的power power
[00:11:05] 然后当当然这个是我在用户
[00:11:07] 它实际上实际上在操作系统内核里面呢
[00:11:10] 就是一个呃内存映射的
[00:11:12] 内存映射的地址
[00:11:13] 然后我我可以通过写文件的方式
[00:11:18] 我可以通过写文件的方式对
[00:11:19] 在在这里你看我直接用一个write系统调用
[00:11:23] 然后像一个叫BRITNEFD的
[00:11:25] 这个文件里面可以写一个值
[00:11:27] 然后我就可以看到他的这个呃LAD
[00:11:30] LED可以闪烁
[00:11:32] 所以我可以直接运行这个程序
[00:11:34] 然后现在我的这个灯其实就已经开始闪了诶
