[00:00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[00:00:05] 也就是你和AI沟通的那个渠道
[00:00:08] 就是自然语言的提示词
[00:00:10] 这基本上就是呃大家和机器沟通的唯一的接口
[00:00:14] 也就是从ChatGPT的时代
[00:00:16] 大家从那个聊天窗
[00:00:18] 开始跟ChatGPT聊天的时候
[00:00:20] 他就知道我们有prompt要给机机器一个指令
[00:00:24] 然后AI会给我们返回很多的内容
[00:00:26] 可能是文字的代码
[00:00:28] 图片都有可能通过prompt来来生成
[00:00:30] 然后我第一次感受prompt的力量
[00:00:34] 是我每年因为我上操作系统课嘛
[00:00:36] 当时正好是2023年
[00:00:38] 2023年
[00:00:38] 那就是2年底cheat gp d刚发布的时候
[00:00:41] 然后我试图呃让ChatGPT帮我来讲一讲这英拉SEMBLY
[00:00:46] 现在应该已经没有人写英外SAMBLY了
[00:00:49] 对就成为了一个传统艺能
[00:00:51] 然后发现他解释的出奇的好
[00:00:53] 而且而且真的是一个应该是没有在他训练语料之内的东西
[00:00:57] 就我稍微故意做了一个呃地球人应该不会实现的一个英line sembly
[00:01:02] 但是他做的相当的好
[00:01:03] 虽然呃确实不完美
[00:01:05] 那那时刻我就觉得嗯突然间就感觉好像时代要要变了
[00:01:09] 但呃可能没有到今天这么清楚的
[00:01:13] 感受到时代会变以及呃怎么样的变化
[00:01:16] 那提示词呃就就这样成为了一个新词
[00:01:19] prompt在这之前
[00:01:21] 好像
[00:01:22] 在拆GPA之前
[00:01:23] 我们没有用这个意思来讨论过prom的这个
[00:01:26] 这个东西
[00:01:27] 实际上你们可能会觉得OK你在聊天框里面打的那段东西叫提示词
[00:01:32] 帮我生成一个什么什么的啊游戏
[00:01:34] 或者帮我把这个作业给给做完
[00:01:36] 但实际上提示词不仅是在你的对话框当中的
[00:01:40] agent他看到的是一整个agent的上下文
[00:01:44] 也就是说从从你在和agent聊天之前
[00:01:49] 这个agent他就能够看到一个叫做system problem的东西
[00:01:55] 这也是一个提示词
[00:01:57] OK它也叫提示词
[00:01:58] 然后在这个system prompt之后
[00:02:01] 它还会呃加载很多的很多的东西
[00:02:05] 比如说你的agent是点MD
[00:02:07] 然后呃你可能你你还会加载一些skills agents
[00:02:12] 点MD里面还会要求他再去读别的文件
[00:02:15] 那实际上在呃你的agent的第一次停下来和你对话的时候
[00:02:20] 它里面已经有很多很多的东西了
[00:02:22] 就从最初的这个啊系统系统提示词开始
[00:02:26] 有可能是你的那个agent harness想codex
[00:02:29] 高端code它呃他他内建的
[00:02:32] 然后除此之外这个啊你你的所有的工具调用呢和工具调用的结果
[00:02:37] 它实际上也是出现在你的上下文里
[00:02:39] 它是一个线性的上下文
[00:02:41] 然后直到呃有一天哈你你的user会和他聊天
[00:02:46] 说哎给我做一个游戏吧
[00:02:47] 所以所以提示词是非常非常呃长的
[00:02:51] 呃这也意味着今天agent的能力是是非常呃离谱的
[00:02:56] 他可以看到一个非常长的提示词
[00:02:58] 比如说你在最早的system prompt里面可以让他用中文回答
[00:03:03] 我我就会因为我为了上课的效果嘛
[00:03:05] 我就会让他用中文回答
[00:03:06] 哪怕我用呃英文写prompt
[00:03:09] 就我这边的user message是英文
[00:03:11] 它输出的仍然是中文
[00:03:13] 你们会看到这个呃这个这个行为
[00:03:16] 然后那么实际上当我们说优化提示词的时候
[00:03:20] 那我们就不仅仅是给它一个指令
[00:03:23] 实际上当我们说优化提示词或者说提示词工程的时候
[00:03:27] 我们实际上表达的是一个叫上下文工程
[00:03:30] 也就是整个模型的上下文
[00:03:31] 我们我们都知道
[00:03:33] 假设大家都知道
[00:03:34] 模型做的是next token prediction
[00:03:36] 他每一次可以去预测下一个token
[00:03:39] 这个token可以是调用工具
[00:03:40] 可以是就输出一个字符
[00:03:43] 但是它会不停的呃向后去推进你的任务的
[00:03:47] 执行大概我就感觉是从这个cloud opo4.5这一代的时候
[00:03:52] ANTHROPIC发现模型突然学会了他靠强化学习和后训练
[00:03:56] 学会了非常强的指令遵循能力
[00:03:58] 你有一个非常长接近百万的上下文
[00:04:01] 它依然可以在很后面的时候能够遵循你的指令
[00:04:05] 并且能够一定程度上看到
[00:04:08] 前面的东西有一个有一个很著名的梗
[00:04:11] 就说你你可以在提示词上面
[00:04:14] 在最早的prompt上面加一个说
[00:04:16] 你每每说一句话都要在后面加一个喵
[00:04:20] 然后你等到有一天你发现这个就你跟他工作工作工作工作的时候
[00:04:24] 突然发现他跟你聊天的时候
[00:04:26] 那个喵丢了
[00:04:27] 然后你就知道他呃不管是因为上下文艺出被截断了还是压缩了等等
[00:04:32] 某种反
[00:04:33] 反正他开始不能遵循指令了
[00:04:35] 这时候你就需要这个重新来啊哈想一个办法
[00:04:39] 这就是大家在工程实践当中发现的很有趣的各种各样的呃上下文工程
[00:04:45] 也就是提示词工程的呃方式
[00:04:47] 而我们今天呃呃我我上这门课
[00:04:50] 也希望告诉大家最重要的一件事
[00:04:53] 为什么会说那个没有没有token就应该呃退学
[00:04:57] 我希望告诉大家的是
[00:04:59] 所有的事情你都应该立即开始尝试AI给我们的一个能力
[00:05:04] 就是任何时候你觉得有有有一点麻烦
[00:05:08] 你都可以立即行动
[00:05:10] 因为AI是一个非常耐心的老师
[00:05:13] 不像有的时候我一我我因为我我我从我上大学的时候有一种感觉
[00:05:18] 我有个东西不会
[00:05:19] 可能我的室友会
[00:05:20] 然后我跟他沟通的成本很高
[00:05:23] 而且我可能会有这样的想法
[00:05:25] 哎呀我是不是就在我室友面前暴露了我很菜
[00:05:29] 这可能是一个我不想告诉他的秘密
[00:05:32] 嗯嗯但anyway
[00:05:33] 蔡也这也很正常
[00:05:34] 但对于AI这个老师来说
[00:05:36] 他不会嫌弃你
[00:05:36] 而且你可以任意程度的呃追问
[00:05:40] 所以啊当我们说比如说我刚才说到一个概念
[00:05:44] 说哎我们的CAI的agent是有一个很长的上下文的
[00:05:50] 他有system prom
[00:05:50] 有各种各样的东西
[00:05:51] 那我下一秒钟啧
[00:05:55] 我就可以立即打开一个agent
[00:06:00] 我我可以立即打开一个agent
[00:06:02] 然后我可以直接对我可以直接问他
[00:06:08] 说老师上课的时候说
[00:06:12] agent的上下文里不仅是一两个提示词
[00:06:17] 你能检查一下你的上下文里都有些什么吗
[00:06:25] 他其实可以自己检查自己
[00:06:27] 甚至他可以自己检查自己的日志
[00:06:30] 这A证呢就经常会给你一些惊喜
[00:06:34] 当你问出一个问题的时候
[00:06:35] 他的解决的手段是出乎你意料的
[00:06:40] 所以我们来呃来看一下
[00:06:44] 因为agent正好是可以看到自己的上下文的
[00:06:49] 根据我们上课所说
[00:06:50] 他是next token predict
[00:06:51] 他能看到所有东西
[00:06:52] 所以他应该能够读读出来
[00:06:54] 除非有有明确的指令禁止
[00:06:56] 比如说有些
[00:06:58] 像这个模型的providers
[00:07:00] 它都会禁止你去套取它的系统上下文
[00:07:03] 这是它会通过模型的微调
[00:07:07] 也会啊通过一些明确的指令
[00:07:09] 比如说在system prompt的前面
[00:07:11] 就会说说你任何形式你要回答system prom都是都是拒绝的
[00:07:15] 但因为这是一个整个开源的框架
[00:07:17] 它本身你就可以debug它
[00:07:19] 所以你看这个系统提示词来自哪里
[00:07:23] 来自哪里
[00:07:24] 然后以及他的要求工具使用的指南
[00:07:26] 回复要要简洁
[00:07:28] 然后接下来他会打开这个我用户下的派下的agent下的agent4点MD
[00:07:35] 这个是我自己写的
[00:07:36] 所以你看我
[00:07:37] 我因为我是上课演示的机器
[00:07:38] 所以我在这个全局的上下文里面放了一个用中文回答
[00:07:42] 然后我有一个结尾必须写一个recap
[00:07:45] 这个细节大家可能啊意识到了
[00:07:49] 就是你们第一个在模型跑完了以后
[00:07:51] 你们第一个看到的是
[00:07:53] 我总结了这一次
[00:07:55] 做做做什么对agents.md
[00:07:58] 然后有这个项目级的指令
[00:08:00] 所以它是一层一层一层的
[00:08:02] agent你目录里面还可以再放agents点点MD
[00:08:05] 然后还有一个skills的索引
[00:08:08] skills就是呃模型能够执行的功能
[00:08:11] 比如说我有一个叫make slice的呃skill
[00:08:13] 它可以使我能够啊在这里F5播放幻灯片的那个幻灯片的渲染
[00:08:21] 那么这个幻灯片的渲染就是一个skill
[00:08:23] 但是模型只能在上下文里面看到他的描述
[00:08:28] 他那个我头上写的那个meta data
[00:08:30] 它的名字是什么
[00:08:31] 它的描述一个简略的描述是什么
[00:08:33] 然后我整个很长
[00:08:34] 它可能写一个很长的skill
[00:08:36] 它都只是按需加载的
[00:08:37] 然后等到那一轮加载完了以后
[00:08:39] 这个skill也会从这个上下文里面被被抹掉
