[00:00:00] 好的在前几次课的时候
[00:00:02] 我们讲了呃怎么用AI的一些案例
[00:00:05] 就像我刚才给大家现场教学了一下
[00:00:08] 你们应该怎么把AI整合到
[00:00:10] 你们生活的流程当中
[00:00:11] 因为你们在生活中会遇到无穷多这种不顺心
[00:00:14] 就是你你你用很多东西时都会感到不顺心
[00:00:17] 但是呃AI作为一个非常强大的呃assistant呢
[00:00:21] 它可以帮你把不顺心的事情给挡掉
[00:00:23] 你只需要告诉他你的意图
[00:00:25] 真实的意图是什么
[00:00:27] 就可以了
[00:00:27] 然后你甚至还可以蒸馏成skills
[00:00:29] 然后让这个过程变得呃更平顺
[00:00:32] 而且在这个过程当中
[00:00:33] 我们不断的看到这个新的模型的进展
[00:00:38] GPT6有就真的发布了
[00:00:40] 大家用用用上了嘛
[00:00:41] 然后我用用了一下
[00:00:42] 反正还是有有惊喜的
[00:00:44] 虽然说呃可能编程上的提升有限
[00:00:48] 他没有没有在编程上说说的
[00:00:50] 我那种
[00:00:51] 我说我们现在呃有经验的软件工程师
[00:00:55] 还有比较好的品位
[00:00:56] 那么这个品位可以指导AI做出更好的东西
[00:00:59] 那现在呃AI更多的时候是完成任务
[00:01:01] 好像这个呃GP6还没有学会这种非常好的
[00:01:06] 好的品味
[00:01:06] 我经常还要骂他
[00:01:07] 所以我觉得我可能还能再苟活个呃几个月
[00:01:10] 但是确实他在各方面的能力都提升了
[00:01:12] 而且呃做更复杂的任务的时候
[00:01:14] 它变得更快了
[00:01:15] 省很多
[00:01:16] token我
[00:01:16] 我特意呃measure了一下
[00:01:18] 还真的是呃是这样的
[00:01:20] 当然了
[00:01:21] 这也是一个
[00:01:22] 我觉得就要在这门课上讨论的问题
[00:01:25] 就是因为为什么我什么时候
[00:01:27] 我们会觉得这个GP做的不好
[00:01:28] 还是因为我们面对了一个非常开放的
[00:01:30] intent space in pation的空间
[00:01:33] 你你脑袋中的呃比就比如说同样的一个任务
[00:01:36] 如果我我我告诉你
[00:01:38] 就给我做一个国民级的应用吧
[00:01:40] 那么每一个人哪怕是顶级的产品经理
[00:01:43] 他脑袋里面想的都不一样
[00:01:45] 然后AI是没有办法和和人脑去直接做这
[00:01:47] 样的一个对齐的
[00:01:49] 所以呃他他总一定会按照他自己的方式去漂移
[00:01:53] 而且我发现AI写出来代码
[00:01:55] 人类越来越难读了
[00:01:56] 这个呃GP6
[00:01:58] 我不知道是不是
[00:01:58] 因为受他这个思维链变短的影响
[00:02:00] 它四维链变得非常非常紧凑
[00:02:02] 然后现在写的代码也非常紧凑
[00:02:04] 就你很明显的从比如说GP5开始到5.6
[00:02:06] 然后到六
[00:02:07] 然后他写代码就写的越来越越来越紧紧凑
[00:02:10] 然后你你越来越不想看它
[00:02:12] 就人没有办法review那个呃那个代码
[00:02:15] 好像曾经好像我们会各种各样的prompt AI
[00:02:18] 说你你写出呃符合这个人类工程规范的代码
[00:02:21] 但好像现在我们觉得我们也不
[00:02:22] 我们再也不会看AI写的代码了
[00:02:24] 所以所以就随他去吧
[00:02:25] 他反正能能把代码呃代码弄对对
[00:02:29] 然后我觉得呃GP6给我们最大的惊喜
[00:02:32] 是他的空间感知和理解的能力
[00:02:36] 我一直我一直认为
[00:02:38] 呃OpenAI对这个AGI的理解是这样的
[00:02:42] 那首先AI得学会数学
[00:02:44] 因为数学是所有人类这个
[00:02:47] 呃世界里面最难的那一种语言
[00:02:49] 因为他呃我我上第一次跟时候说
[00:02:51] 他有一个
[00:02:52] 世界上所有人都认同的一个推理系统
[00:02:56] 所以它它和这个呃我们说的软件工程里面的
[00:03:00] intent spec in cation的gap是反过来走的
[00:03:04] 数学是有全球性的共识的
[00:03:06] 你你你一个定理
[00:03:07] 你你你能证明出来
[00:03:09] 那么全球的人都会认为
