[00:00:00] 上一节课的时候给大家讲了多处理器编程
[00:00:03] 从入门到放弃
[00:00:04] 从入门是最简单的一个线程库
[00:00:07] 12点H你们应该已经下载过代码
[00:00:09] 并且运行过了
[00:00:11] 两个API
[00:00:11] 一个是SPN
[00:00:12] 你可以把一个函数作为一个线程运行起来
[00:00:14] 那它这段代码就和其他的代码
[00:00:17] 可以并发和并行的执行
[00:00:18] 如果是一个多处理器的硬件的话
[00:00:20] 呃并且呃你确实可以验证它们是共享内存的
[00:00:24] 拥有独立的啊站
[00:00:26] 然后等到这个线程的function返回的时候
[00:00:28] 我们可以用join把他等回来
[00:00:30] 那这样你就可以实现呃多线程程序的呃使用了
[00:00:34] 但是你也发现
[00:00:35] 如果你只依赖于线程库和共享内存的话
[00:00:38] 你甚至连1+1也不会求了
[00:00:41] 如果你有两个或者多个线程
[00:00:43] 你想要做sum等于sum加一
[00:00:45] 你你现在暂时是没有手段的
[00:00:47] 然后你你甚至是连123这样的顺序
[00:00:50] 你都数不出来了
[00:00:50] 因为有这个
[00:00:52] which memory model的各种各样的奇怪的行为
[00:00:55] 所以呃我们不是教大家要去呃hack这种行为
[00:00:59] 而是要告诉大家
[00:01:02] 其实你们打开了一个魔鬼的盒子
[00:01:04] 为什么要在操作系统课里面讲并发呢
[00:01:06] 是因为UNIX引入了进程以后
[00:01:09] 虽然进程之间是不共享内存的
[00:01:12] 最早的时候UNIX的进程
[00:01:13] 你想如果没有SPN这个系统耐用
[00:01:15] 如果只有fork和ETCVE
[00:01:17] 那fork出来的两个程序的副本
[00:01:20] 它就是独立运行的
[00:01:22] 拥有自己独立的地址空间
[00:01:24] 甚至在早期的实现里面
[00:01:25] 真的就是把内存一个字节一个字节拷贝了一份
[00:01:28] 那么呃fork和EXECV虽然不共享内存
[00:01:31] 但是系统调用的执行是共享内存的
[00:01:34] 如果我们的操作系统执行一条cs call指令
[00:01:37] 那么CISCCALL指令的行为实际上是一个跳转
[00:01:40] 它和你们普通的jump和call是很像的
[00:01:43] 只是它会附带一个权限的切换
[00:01:46] 也就是说当你穿过CISCO的时候
[00:01:48] 你就从一个不信任的
[00:01:50] 所有的应用程序都是不信任的
[00:01:51] 你你不能随便动这计算机硬件的任何配置
[00:01:55] 包括IO的端口
[00:01:56] 包括中断等等
[00:01:57] 如果你动了
[00:01:59] 那操作系统的霸权地位就受到挑战了
[00:02:01] 那呃但是当你呃我们打一个比方吧
[00:02:04] 当你全身麻醉
[00:02:05] 把自己交给这个医生的时候
[00:02:07] 那就相当于把这个程序交给操作系统的时候
[00:02:10] 又恢复到高权限的状态
[00:02:12] 而这个时候其实你想想每一个进程
[00:02:16] 它在操作系统内执行的部分就变成了一个线程
[00:02:20] 所以操作系统是最早的并发程序
[00:02:22] 一旦cs call开始执行了
[00:02:24] 比如说我可以呃一个进程在CISCO里面执行
[00:02:28] Read f d buff size
[00:02:30] 然后另外一个进程说write fd buffer size
[00:02:33] 然后这两个进程
[00:02:34] 比如说我现在操作系统内核代码执行的时候
