[00:00:00] 今天我们来讲并发算法和并发的数据结构
[00:00:03] 然后我先回顾一下大家的期中测验
[00:00:07] 我我可以先简单讲一下
[00:00:10] 期中测验的情况
[00:00:11] 比如说我们一共收到了49份有名字的试卷
[00:00:14] 然后我大概有接近一半的同学额
[00:00:17] 选择了写了一些
[00:00:19] 然后交了一个没有名字的
[00:00:20] 但因为我我前面说过
[00:00:21] 我会normalize成绩的
[00:00:23] 所以呃放弃交卷的同学
[00:00:25] 理论上说会稍微吃一点亏
[00:00:26] 当然吃的亏也不大
[00:00:27] 我期末考试
[00:00:29] 还可以再再挣回来
[00:00:31] 然后我要讲这个期末期中试卷
[00:00:33] 大家肯定觉得期中试卷比较难
[00:00:35] 你们什么感觉
[00:00:37] 我我我
[00:00:38] 我第一次就是不是用这种标准化考试的方式
[00:00:41] 比如说哎我每次都会出一个
[00:00:43] 什么fork的练习
[00:00:45] 这样的方式
[00:00:46] 而是呃所有的题目都是某种程度的编程题
[00:00:49] 然后看大家对
[00:00:51] 编程里面的概念到底到底掌握到什么程度
[00:00:54] 其实我不是希望你们每一个同学
[00:00:56] 把所有的细节都记住
[00:00:57] 你们记不住
[00:00:57] 但是呃有些时候你得通过这个测验比
[00:01:01] 就笔头的测验能够看出你对这个问题的呃理解
[00:01:04] 然后我们先先看一下
[00:01:06] 这是我直接逃课了
[00:01:07] 我直接昨天把期中考试的题目放到里面
[00:01:12] 然后让AI帮我生成一个slice
[00:01:14] 然后AI就给我生成这个我一个字也没有改
[00:01:16] 呃我也没有看哈
[00:01:17] 我来呃我来我来看一下
[00:01:20] 呃这这发生了什么
[00:01:21] 我们的第一个题目是呃讲基本概念
[00:01:25] 什么是
[00:01:26] 什么是文件描述符
[00:01:27] 但是我稍微做了一点
[00:01:29] Prompt
[00:01:29] 然后呃他他给了一些
[00:01:32] 比如说如果让你来设计的话
[00:01:33] 进程总是需要去指
[00:01:36] 指代一个已经打开的文件
[00:01:39] 因为操作系统对象
[00:01:40] 我们进程的地址空间是隔离的
[00:01:41] 所以不能直接访问
[00:01:42] 所以呃所以
[00:01:44] 所以我们不能用指针
[00:01:45] 也不能用名字
[00:01:46] 用指针也不好
[00:01:47] 用
[00:01:47] 名字也不好
[00:01:48] 那啊UNIX的选择就是一张表和一个整数
[00:01:52] 呃我我这个进程池有的编号为零的文件
[00:01:54] s CD in编号为一的文件
[00:01:57] 或者说编号为一的对象
[00:01:58] Sd d out
[00:01:59] 然后啊这样呃FD等于三
[00:02:02] 只是数组数组下标
[00:02:03] 背后是操作系统里面的一个对象
[00:02:05] 因为everything is a fire
[00:02:06] 所以啊就用了文件描述符
[00:02:08] 这个这个当然这个大家都都非常清楚
[00:02:10] 因为是肯定会大家知道肯定一定会考的
[00:02:13] 第二个就比较麻烦了
[00:02:14] fork以后
[00:02:16] 怎么样处理文件描述符
[00:02:18] 这也是很麻烦的事情
[00:02:19] 对不对
[00:02:19] fork以后紫禁城还要不要访问
[00:02:22] 还能不能要不要持有同一个文件
[00:02:24] 肯定是要的
[00:02:25] 因为我们的fork e x
[00:02:26] ECVE是用来实现像管道
[00:02:28] 重定向啊这样的呃功能的
[00:02:31] AI给了一个非常好的解释
[00:02:33] 呃我们有两种两个两个设计的选择
[00:02:36] 第一个各自呃独独立有一个偏移量
[00:02:41] 第二个共享同一个文件也共享偏移量
[00:02:46] 然后大家都知道是实际上是是第二个
[00:02:48] 但如果你站在操作系统设计者的角度
[00:02:50] 你会发现如果父子进程都要写文件的话
[00:02:54] 第二个呃第二个选项才是正常的
[00:02:57] 不然我两个两个进程同时写日志
[00:03:00] 日志就被覆盖掉了
[00:03:01] 然后其实AI给了一个更好的解释
[00:03:03] 这个有点挺出乎我意料的
[00:03:05] 因为呃因为我们确实可以干这件事儿
[00:03:07] 我们可以把两个命令用封号连接起来
[00:03:11] 或者用and连接起来
[00:03:12] 就是shell里面可以支持先运行一个
[00:03:14] 再运行一个
[00:03:15] 再运行一个
[00:03:15] 然后把它打包成一个一个命令
[00:03:18] 然后这个时候里面就有两个进程
[00:03:20] 两个进程
[00:03:20] 然后他们共享同一个文件描述符
[00:03:23] 或者说同一个在fork的时候
[00:03:25] 共享同一个打开的文件
[00:03:26] 然后但嗯只有第二种方式才可以使得我
[00:03:30] 我的行为是把第一个文件的输出
[00:03:32] 和第二个文件输出合并
[00:03:33] 而不是让他们交错起来
[00:03:35] 所以就是因为有这样的
[00:03:36] 有这样的实际的需求
[00:03:38] 所以你会知道
[00:03:40] 我们应该应该选选哪一个
[00:03:42] 选哪一个共享状态是协作的前提好
[00:03:46] 第三个
[00:03:47] ESCVE这个相对简单一点
[00:03:49] 我们的ECV的函数原型
[00:03:52] 好像有的同学不知道什么是函数原型
[00:03:53] 很有意思
[00:03:54] 函数原型function prototype
[00:03:56] 就是一个这个函数签名一样的啊东西
[00:03:59] 换掉代码数据站
[00:04:00] 但保持FD和啊和和PID
[00:04:03] 这这个是呃是大家应该应该会知道的
[00:04:07] 第四个很有意思
[00:04:08] 呃这个题目的
[00:04:11] 大家答的比我想象的
[00:04:12] 要想象的要要要更不好一些
[00:04:15] 因为主要呃主要是有几个方面
[00:04:18] 第一个
[00:04:19] 你在你如果想要用一个这个终端里面的UI
[00:04:22] 不管是vm coud code这样的程序
[00:04:25] 需要的第一个是要能画界面
[00:04:27] 画界面
[00:04:27] 那UNICODE只是其中一部分
[00:04:30] 比如说那个写奇怪的那个小logo是用UNICODE画出来的
[00:04:33] 但其实实现终端的主要功能还是escape code
[00:04:37] 就是因为有escape code
[00:04:38] 所以你可以控制你的光标的位置
[00:04:40] 你可以控制你可以擦除这个屏幕上的一部分
[00:04:43] 然后这样你才能绘制一个动态的界面
[00:04:45] 你可以看到那个整个界面在不变的情况下
[00:04:48] 对一个框框还在的情况下不断的往后吐字
[00:04:51] 你想实现这个功能
[00:04:52] 你你你就需要这个escape grab口的
[00:04:55] 当然还有这个呃PTY这个机制
[00:04:57] 以及还有信号的机制
[00:05:00] 你在在大原模型在土token的时候
[00:05:02] 你CTRL加C
[00:05:04] 我
[00:05:04] 我我不知道为什么
[00:05:05] 大家都都忘记这个这个概念了
[00:05:06] 嗯你们你们你们有没有让AI帮你们写一点
[00:05:10] 终端里面的程序你们会看到好多好多这样的
[00:05:13] escape code讲义里面应该也是频繁的出现的好
[00:05:17] 第二题就麻烦了
[00:05:18] 第二题就全是很细碎的东西
[00:05:21] 当然我我其实不需要
[00:05:22] 你们能够直接写出这个命令
[00:05:24] 就你写不出这个命令也不要紧
[00:05:26] 你可以说说
[00:05:27] 因为比如说PRCFS里面有有一个什么东西
[00:05:30] 所以呃你你可以从那个PROGRAFS里面
[00:05:34] 是什么什么什么什么什么
[00:05:36] 给你一个二进制文件
[00:05:37] 如何判断运行时
[00:05:40] 是否需要加载
[00:05:41] so o
[00:05:43] 你你你只要去看那个ERF文件就行了
[00:05:45] 你可以在GDP里面看
[00:05:46] 你也可以
[00:05:47] 这个ERF的对点interpreter section记录了
[00:05:51] 它的路径
[00:05:52] 嗯你看那个一二分件
[00:05:54] 就知道它是是不是动态链接的
[00:05:56] 以及你可以用一些命令行工具
[00:05:58] 像LDD啊这样的工具
[00:05:59] 然后谁修改了environment
[00:06:01] 任何一个变量
[00:06:02] 哪一条指令修改了一个变量
[00:06:05] 那就用what point AI的AI的直觉真的非常好
[00:06:09] 你你有一个需求的时候
[00:06:11] AI真的知道你应该做什么
[00:06:13] 你只要说出
[00:06:14] GDP给我们提供了一个机制
[00:06:16] 可以在某一个地址被修改的时候
[00:06:18] 你能停下来
[00:06:19] 这个你就可以可以知道
[00:06:21] 其他类似的像呃环境变量存在哪里
[00:06:24] 和占有有什么关系
[00:06:25] 你不需要记得这些呃这些具体的东西
[00:06:29] 但是但是我确实觉得AI的感觉
