[00:00:00] 今天我们继续讲并发编程里面的呃同步
[00:00:03] 上一次课的时候
[00:00:04] 我们介绍了同步的概念
[00:00:07] 对刚开始的时候你们会觉得什么叫同步
[00:00:10] 其实同步就是你在如果异步的两个线程
[00:00:14] 你觉得理解不了的时候
[00:00:15] 你希望他们达到一个全局的确定的状态
[00:00:18] 就是有一个同步点
[00:00:20] 然后这个同步点就有一个同步的条件
[00:00:22] 然后这个条件你是对于整个共享世界里面
[00:00:25] 共享的状态说的
[00:00:27] 比如说呃我们希望的是在呃上升沿到来之前
[00:00:32] 所有的线程都不能动
[00:00:33] 只有上升沿呃到来之后
[00:00:37] 所有的线程才能启动
[00:00:38] 所以在上升沿到来的那一瞬间
[00:00:40] 我就知道是所有的线程其实都在等待它
[00:00:43] 没有没有人能继续往后做计算
[00:00:45] 就形成了一个
[00:00:47] 在同步条件达成之前和之后所有的事件
[00:00:50] 之前的事件都happen before之后的事件
[00:00:53] 这样这样我就可以实现像呃我在指挥里面
[00:00:56] 我要放一个音乐
[00:00:56] 我就呃可以等到我这一拍下去了
[00:00:58] 我所有的人才会呃play一个音符
[00:01:02] 以及我可以像现成的drain drain
[00:01:04] 也是一个非常典型的等待同步条件
[00:01:06] 我们希望在有一个有一个瞬间
[00:01:08] 在最后一个线程执行完的那一瞬间
[00:01:11] 达成这个同步条件
[00:01:13] 我们是呃在在这个之前
[00:01:15] 就可能有有有的县城还在执行
[00:01:17] 有的县城已经结束了
[00:01:18] 但是在这个之后我们才能确保
[00:01:20] 比如说join的那个线程可以继续往后执行
[00:01:23] 有一个有一个瞬间的时间点
[00:01:25] 我们是可以理解的
[00:01:26] 然后比如说你们不仅是像我可以用一个线程
[00:01:29] 去等另一个线程
[00:01:30] 你们还可以两个同学互相等待
[00:01:32] 晚上11:59:59在大活不见不散
[00:01:36] 那我有一个同步的条件
[00:01:38] 就是我要等你来
[00:01:39] 你要等我来
[00:01:39] 同样的有一个等待的条件
[00:01:41] 以及我们讲的生产者和消费者
[00:01:43] 我们讲了一个打印左括号和右括号的例子
[00:01:45] 它也有一个
[00:01:47] 生产者有自己的条件
[00:01:48] 消费者有自己的条件
[00:01:49] 那呃不管条件是什么
[00:01:51] 你只要能把这个条件给想清楚
[00:01:53] 那你就可以背我们上课的时候讲的这个模板
[00:01:56] 模板
[00:01:57] 我们首先要获得一把互斥锁
[00:01:59] 获得一把互斥锁
[00:02:00] 然后获得互斥锁以后有一个呃等待的循环
[00:02:04] 呃如果我发现条件不满足
[00:02:07] 那我就要进入这个等待状态
[00:02:10] 然后等待的时候我会把这个锁释放掉
[00:02:12] 然后一旦有我再次被别人唤醒
[00:02:14] 我就会重新执行一个快
[00:02:16] 试图去把这个锁在再给获得
[00:02:19] 获得以后我才能继续
[00:02:20] 然后这样我就可以保证的是
[00:02:21] 我在不管是在代码的这个地方
[00:02:23] 黑色的地方
[00:02:24] 还是在我循环
[00:02:25] 比如说退出的时候
[00:02:26] 我的互斥锁都是上着的
[00:02:28] 然后上着的时候
[00:02:29] 如果我循环出来
[00:02:30] 那我就可以保证condition是真的
[00:02:32] 然后如果我循环还在呃一遍一遍的运转
[00:02:35] 比如说我现在
[00:02:35] 如果这一行代码运行到这个中间这个地方
[00:02:37] 那么呃我就可以保证
[00:02:39] 这个condition肯定是肯定是假的
[00:02:41] 而且如果你正确的上了锁
[00:02:43] 世世界上就不应该有别人能够改变你
[00:02:45] 你检查这个条件的状态
[00:02:47] 所以呃你你的程序就是某种意义上就是对的
[00:02:51] 这个是一个万能的同步方法
[00:02:53] 然后在你任何时候
[00:02:56] 同步的条件可能发生改变的时候
[00:02:58] 你都需要执行一个broadcast吧
[00:02:59] 所有的啊现成的唤醒
[00:03:01] 我上节课翻车了
[00:03:02] 所以我我我讲了一个不正确的例子
[00:03:05] 然后那个教例子教科书上有
[00:03:06] 你可以跟着教科书再走一遍
[00:03:08] 呃知道
[00:03:09] 为什么你你用比如说衣服
[00:03:12] signal
[00:03:13] 呃不是说在任何时候都不对
[00:03:14] 你你是可以把它写对的
[00:03:15] 但是你你暂时没有这个必要
[00:03:17] 因为如果你你确实想要用
[00:03:19] 比如说if和signal
[00:03:20] 我们今天会讲一个新的呃并发控制的工具
[00:03:23] 它很好用
[00:03:24] 对它很好
[00:03:25] 它就是信号量
[00:03:27] 然后我今天就带大家去从零开始发明信号量
[00:03:30] 这个发明信号量带来自一个非常聪明的想法
