[00:00:00] 欢迎大家来上操作系统课
[00:00:03] 应该是这个新年级的第一次课
[00:00:06] 也是我觉得今年，从去年到今年
[00:00:11] 我觉得计算机世界里发生了很多很多的变化
[00:00:15] 我也深深的感觉到
[00:00:18] 可能我们差不多也可以退休了
[00:00:21] 所以我今年把课程又做了一些修改
[00:00:24] 大家在这个网站上面可以是看到
[00:00:26] 有些内容没有更新请大家再稍微等一下
[00:00:29] 我还在webCoding一些内容
[00:00:31] 但大家进入到教室，第一件事就看到
[00:00:34] 所以我今天上的方式。
[00:00:36] 有点不一样了。
[00:00:38] 这是今天我要讲的
[00:00:40] 今天第一次操作系统上课
[00:00:42] 我会今天讲一下简介
[00:00:44] 然后从why,what,how去讲
[00:00:47] 我们如果要学操作系统的话，到底要学什么
[00:00:50] 到底要怎么学
[00:00:52] 那我们就从这个我自己的介绍开始
[00:00:56] 我觉得我们个人简介
[00:00:58] 今年那个网页没有了，变成了（没听懂）
[00:01:02] 这个不重要
[00:01:04] 我是个教操作系统做编程语言的男工人
[00:01:09] 所以我有点发现
[00:01:12] 给小学生出了10年的比赛题
[00:01:16] 所以我说我师底下有这1/4理论的血
[00:01:20] 我曾经是这个竞赛的职业选手
[00:01:23] 然后从我好像这个成绩还不错
[00:01:26] （前面没有听懂）但是我觉得在AI这个时代
[00:01:29] 所有系统也都变成浮云了
[00:01:32] 我觉得更重要的事情可能是
[00:01:35] 从今天这个操作系统课开始
[00:01:38] 我看到的一个可能的未来
[00:01:42] 就是人工智能，就是下一次
[00:01:45] 将会杀死所有的老师
[00:01:48] 然后现在这个学院的教学委员会
[00:01:50] 感谢大家的投票
[00:01:51] 给我做“我最喜欢的老师”
[00:01:53] 然后我操刀了
[00:01:55] 新版教学计划
[00:01:58] 就是你们的下一届的师弟师妹们开始
[00:02:02] 我们的砍掉了必修课里面的几乎我们绝大部分评委课的一个学分
[00:02:07] 包括我们操作系统课
[00:02:09] 所以我这个学期就会按照三个学分来讲
[00:02:12] 我两周是4次课
[00:02:15] 但会有3次课会讲我的正课的内容
[00:02:18] 然后还有一次课会讲OS相关的课外的内容
[00:02:21] 我就想要的是
[00:02:23] 能把每个双周的周次这节课变成（没听懂）
[00:02:28] 然后也许大家可以分享一些你们用coding的经验
[00:02:32] 或者我们的资料可以来讲解有意思的东西
[00:02:36] 要么我这个学期可能会按3个学分来
[00:02:41] 我们做这个改革的主要的原因也是因为
[00:02:45] 我觉得在现在这个AI的时代
[00:02:47] 如果在讲坛上走的话
[00:02:49] 可能让他们来听老师的讲课
[00:02:51] 一些老师可能已经变了
[00:02:55] 同样的东西讲了10年20年了
[00:02:58] 所以我们先把课程的学分和学时减下来
[00:03:02] 减完了以后再看怎么办
[00:03:05] 现在还不知道应该怎么办
[00:03:08] 然后再说一下今天的这门课
[00:03:12] 操作系统课的目标
[00:03:14] 或者说我这个操作系统课的目标是希望能够带大家真正去理解操作系统到底是什么
[00:03:19] 到底给我们带来什么
[00:03:21] 所以我希望每一节课，当然一节课说不完
[00:03:23] 每一节课都带着实现一点什么的目标
[00:03:27] 我每节课都会带大家来学习一些操作系统为我们提供的什么样的功能
[00:03:31] 以及一个用这个功能来做到什么
[00:03:35] 他背后的设计理念是什么
[00:03:37] 还有以及像今天我们大家刚才看到其中的一个，claudeCode
[00:03:43] 我发现Unix 这个含金量还在不断的增加
[00:03:48] 从另外一个角度
[00:03:52] 我们可能不需要在AI的时代
[00:03:56] 在每一个同学都去写一个自己的操作系统内核
[00:03:59] 或者说如果你有足够的软件的支持
[00:04:02] 不是下一次的支持你自己
[00:04:04] 在指挥ai这也可以写一个操作系统
[00:04:06] 最近好像就在一年之内
[00:04:09] 就有一个新闻说就有人用CC，自己写了一个操作系统内核
[00:04:13] 我去看了那个GitHub，一看我觉得很糟糕，非常的ai。
[00:04:17] 但我相信终有一天这事情可能会实现
[00:04:20] 所以我就从去年开始
[00:04:22] 我就做了一个违背祖宗的决定
[00:04:24] 我是一个叫操作系统的老师
[00:04:26] 然后我把操作系统内核
[00:04:28] 所有的内容都从我的课程里面挪掉了
[00:04:31] 这门课就只讲操作系统
[00:04:35] 和应用之间的API，操作系统API
[00:04:38] 但我会讲稍微深一点
[00:04:40] 你会知道怎么创建一个容器
[00:04:42] 这个你们做一个O类的文件系统
[00:04:44] 这些东西可能你们之前没有做
[00:04:45] 而这些技术
[00:04:47] 操作系统给你提供这些功能大大去实现
[00:04:49] 像现在这样能够构建的里面非常重要的组成部分。
[00:04:54] 当然可以
[00:04:56] 因为我觉得99.9%的人不需要知道这些
[00:04:58] 特别底层的细节了
[00:05:00] 我们的课程所有的信息都在课程主页上。
[00:05:06] 大家看到课程主页上会有所有你需要的信息，
[00:05:12] 理论上说你知道这个课程主页你可以不用来上课的
[00:05:15] 因为我现在直播了
[00:05:17] 我也录像了
[00:05:20] 所以理论上你们都可以不用来上课的
[00:05:23] 但我会尽量保证我的录播课不会翻车
[00:05:26] 但如果翻车的话你肯定会错过些课
[00:05:28] 但也没有关系不是很重要
[00:05:30] 所有的信息都可以在课程主页上找到
[00:05:32] 包括我们的office
[00:05:34] 包括助教以及重要的信息更新
[00:05:37] 大家可以看到我在每一个双周都会安排一节课。
[00:05:43] 我是不会点名的
[00:05:44] 所以你们来不来都不要紧
[00:05:47] 后续所有重要的信息
[00:05:48] 我都会用邮件的方式直接推送给所有的同学
[00:05:53] 包括你们提交作业
[00:05:56] 包括这个QQ群号，加群的密码等等
[00:06:00] 都会用邮件发到每一个同学的邮箱里
[00:06:04] 这也是（没听懂）
[00:06:07] 然后每周四下午下课以后
