[00:00:00] 我们上周讲了一点版本管理
[00:00:03] 我们这周继续讲版本管理
[00:00:04] 然后我发布了一个作业
[00:00:07] 然后按照之前的说法
[00:00:08] 就是这门课所有的作业大家都是选做自愿完成
[00:00:13] 然后最后呃当然肯定会验收
[00:00:15] 因为最终也许学校会让我们提交一个成绩
[00:00:19] 那么大家呃就会教一些链接
[00:00:23] 然后由我的机器人来给大家呃评分
[00:00:26] 然后呃我们的第一个lab
[00:00:29] 算是一个比较时髦的需求
[00:00:32] 叫会成长的呃
[00:00:35] 呃个人助手
[00:00:36] 然后他现在对大家的要求都是不限
[00:00:39] 你们想怎么做就怎么做
[00:00:41] 然后最好还是可以web code一个
[00:00:42] 而且我今天应该会课上会留的时间啊
[00:00:45] 我自己就来web code一个
[00:00:47] 然后我会告诉大家
[00:00:48] 如果你直接让他web code的时候
[00:00:50] 你你会遇到什么样的小坑
[00:00:52] 然后呃除了今天以外
[00:00:53] 我下一周
[00:00:54] 而不是下一周
[00:00:55] 是这周日要调休
[00:00:57] 周二的课
[00:00:58] 所以这周日还有课
[00:00:59] 然后会讲软件的呃架构
[00:01:01] 然后会把它会把它连起来
[00:01:03] 然后这个例例子就是你们特别特别呃
[00:01:06] 每个同学都会需要的
[00:01:07] 我自己自己也有的
[00:01:08] 就是一个能够持续为你工作的呃个人助手
[00:01:12] 然后你可以这些需求是供你参考的
[00:01:14] 当然呃如果你实现它的话
[00:01:15] 会有一点点成就感对吧
[00:01:17] 比如说你的学习的数据库
[00:01:18] 你呃
[00:01:19] 你们这个学期可能会在上一些专业必修课呃
[00:01:23] 可能计算机网络或者呃数概率之类
[00:01:27] 比较困难的啊
[00:01:28] 专业课
[00:01:28] 然后你可以把呃你的专业课的资料
[00:01:31] 放到你的个人数据库里
[00:01:32] 或者呃你你参与了研究组的课题的时候
[00:01:35] 你可以把你们研究组的论文相关的文献
[00:01:38] 教科书这些整理成你的个人的数据库
[00:01:41] 这是一种形式的数据库不限
[00:01:42] 你也可以把你自己的个人信息对吧
[00:01:45] 我我不知道大家是不是已经呃填表
[00:01:47] 已经填的很烦了
[00:01:48] 每次你你填表的时候
[00:01:50] 都是给你一个DOC的表格
[00:01:51] 然后在那个表格里要填姓名名
[00:01:53] 学号
[00:01:54] 身份证号
[00:01:54] 然后有时候是个人简历这个那个
[00:01:57] 然后我现在已经把这些所有的事情都交给agent了
[00:01:59] 就就是好把这个东西填了
[00:02:01] 呃
[00:02:01] 啊这啊
[00:02:02] 觉觉得从往以往到今年
[00:02:05] 有一个非常大的效率进步
[00:02:07] 今年我记得我大概在呃疫情的时候
[00:02:10] 我招过一个嗯学生
[00:02:12] 然后研究生研究生就在我这里做了3年啊
[00:02:15] 做了一个什么
[00:02:15] 就是自动填表系统
[00:02:17] 就我们就填
[00:02:17] 觉得填表很烦
[00:02:18] 然后等到他毕业的时候
[00:02:20] 突然有个ChatGPT
[00:02:21] 然后又很慌
[00:02:22] 他他做他觉得他做的事情马上就要被替代了
[00:02:25] 我说不要紧
[00:02:26] 你赶快答辩
[00:02:26] 然后就就就可以毕业毕业了
[00:02:29] 然后这世界就是发展的啊
[00:02:31] 这么快
[00:02:32] 然后在个人数据库的基础上
[00:02:33] 你可以把数据库和你的SMAIL的邮箱呃
[00:02:37] 关联关联起来
[00:02:39] 如果有也就有可能的话
[00:02:41] 比如说我在两周以后会在半夜给大家发邮件
[00:02:44] 然后你你的A证呢可能会把邮件回回给我
[00:02:46] 就实现一个always on的一个在后台
[00:02:49] 你们也许买一个很小的那种嵌入式的小设备
[00:02:52] 一两百块钱
[00:02:53] 你就可以在你的宿舍里面
[00:02:54] 持续的跑你的agent loop啊
[00:02:57] 这样然后呃
[00:02:59] 以及用你的信息可以办理一号的事物
[00:03:01] 就像我上课的时候对
[00:03:02] 这就是一句话
