[00:00:00] 我们先回顾一下我们之前学了什么
[00:00:02] 我们学了那个线程库
[00:00:04] 有呃SPN
[00:00:05] 然后有在SPOND的基础上
[00:00:07] 我们可以加上像互斥锁
[00:00:09] 信号量
[00:00:10] 条件变量啊这些呃互斥和同步的操作
[00:00:13] 我们就可以去控制并发程序的执行
[00:00:15] 然后我们控制这个并发程执行的本质
[00:00:18] 其实是我们在脑袋里面
[00:00:19] 其实是有一个计算图的
[00:00:21] 我们呃有些部分是可以并行的
[00:00:23] 有些部分是不能并行的
[00:00:24] 那如果不能并行的话
[00:00:26] 我们就要按顺序来执行它
[00:00:27] 然能并行的
[00:00:28] 我就应该放出去
[00:00:29] 尽可能的执行
[00:00:30] 所以基本上你看到之前我们讲的很多的机制
[00:00:33] 都是在线程上面实行各实现各种各样的计算图
[00:00:36] 当然如果你的计算图要实现的好
[00:00:38] 并不是一个非常简单的事儿
[00:00:41] 那有一个思路就是
[00:00:43] 我们可以去把线程变得尽可能的清亮
[00:00:45] 所以我们就从Python的generators到携程
[00:00:48] 然后讲到这个go语言实现的这种很像县城
[00:00:51] 你用起来就和县城完全一模一样
[00:00:53] 但是你又能够像携程一样清亮的这种go rot
[00:00:56] 然后另外一个途径就是
[00:00:58] 我们可以在编程语言里面
[00:00:59] 因为编译器受到我的控制
[00:01:01] 原则上你甚至可以允许我在编程语言里面
[00:01:04] 嵌入一段自然语言
[00:01:05] 帮我把这些东西给并行执行了
[00:01:07] 那呃当然在编程语言发展的时代
[00:01:09] 我们的答案其实是
[00:01:11] 可以用这种event based encurrency在JAVASCRIPT里面
[00:01:14] 然后有promise的API可以去描述一个计算图
[00:01:17] 我可以我可以去呃创建几个
[00:01:21] 比如说HTTP的请求
[00:01:22] 然后我可以promise点all去等待他们呃都结束
[00:01:25] 然后然后然后我们发现
[00:01:27] 今天
[00:01:28] 今天之前所有的讨论
[00:01:30] 讲的都是CPU上面的并行和并发模型
[00:01:32] 然后我们今天会会讲怎么样
[00:01:34] 或者说是时候要推翻CPU
[00:01:36] 在计算这件事情上面的呃统治了
[00:01:39] 然后让我们来看一看这件事情意味着什么对
[00:01:42] 然后我们先讲什么是CPU
[00:01:45] 回顾一下什么是CPU
[00:01:46] Cpu
[00:01:46] 就是你们在呃我们在第一次introduction课的时候
[00:01:51] 就给大家讲的那个计算模型
[00:01:52] 我们有一个呃单文件的
[00:01:55] 有个mini r v3I32MA点H
[00:01:57] 然后OK嗯它有一个状态
[00:02:01] 有一个状态
[00:02:02] 然后呃CPU的state
[00:02:04] 然后每一次我们都可以执行一个ROA
[00:02:06] 32m a step去执行一个呃一小一小步
[00:02:09] 这个就是我们呃呃知道的CPU
[00:02:13] 但是但是我们上其实之前讲的时候
[00:02:16] 我我们也也知道
[00:02:18] 顺序执行只是CPU一个精心维护的假象
[00:02:22] 实际上你们每一个写的程序
[00:02:25] 你虽然写X等于一
[00:02:26] Y等于二这两条语句
[00:02:29] 他们最终会编译成指令
[00:02:30] 在CPU里面
[00:02:32] 他们执行的时候其实就是并行的
[00:02:34] 然后我我可以再多多讲两句
[00:02:37] 这里的呃相对细节一些的呃内容
[00:02:40] 这是为什么呢
[00:02:41] 这就是因为我们的逻辑门天生是可以并行的
[00:02:44] 你你们在在logic sim连线的时候
[00:02:47] 我知道你们的数字逻辑电路课
[00:02:49] 我那天跟大一的同学呃稍微聊了一会儿
[00:02:52] 然后聊了一会儿和大家在抱怨
[00:02:53] 你们的那个数字数字逻辑电路课
[00:02:55] 就是你要连用log sim
[00:02:57] 连一个非常非常大的这个啊电路
[00:02:59] 但你又没有任何意义
[00:03:00] 因为你用编程语言的时候
[00:03:01] 你可以写一个for循环
[00:03:02] 这样的东西可以
[00:03:03] 你就可以创建100个
[00:03:04] 1000个
[00:03:04] 1万个
[00:03:05] 对你来说代价都是一样的
[00:03:06] 但如果他要连线的话
[00:03:07] 它呃同学说说
[00:03:09] 这个极大地提升了他操纵鼠标的精准度
[00:03:12] 然后logic m的电路图给你们一个
[00:03:15] 就是给你一个非常直观的感受
[00:03:17] 当信号比如说从左边过来到右边的时候
[00:03:20] 所有的这个逻辑门是同时执行的
[00:03:23] 逻辑门天生是一个是一个并行的的系统
[00:03:27] 所以没有人能够阻止我
