[00:00:00] 好我们继续讲生成式软件工程
[00:00:03] 上一节课我们讲了一点版本管理
[00:00:05] 然后今天我会正式开始软件工程部分的内容
[00:00:09] 所以现在算是真正的软件工程课了
[00:00:11] 虽然当时版本管理也是啊软件工程
[00:00:14] 当然在上课之前呢
[00:00:16] 我可以先分享一些最近一周发生的新闻
[00:00:19] 当然因为这个热度已经高到一定程度了
[00:00:21] 所以呃我相信大家多多少少都已经
[00:00:24] 呃看过了
[00:00:25] 比如说这个type c AI最新发布了一个
[00:00:32] 可以实时玩doom的这样的一个模型
[00:00:38] 算是基础模型吧
[00:00:39] 我觉得它我我猜盲猜
[00:00:41] 它是一个prefer only的一个
[00:00:43] 就像就像只能出一个token的transformer
[00:00:46] 那它可能是别的架构
[00:00:48] 然后他可以输入一个
[00:00:49] 比如说输入一个JSON
[00:00:51] 在这里应该是他把这个毁灭战士的
[00:00:54] 状态变成一个JSON文件
[00:00:55] 然后让他给给一个决策
[00:00:57] 然后他大概可以在毫秒级或者百毫秒级
[00:01:00] 就基本上是一个呃准人类实时的
[00:01:04] 这样的你看底下有一个决决策
[00:01:07] 然后来做一个输出一个token
[00:01:08] 然后这个token应该是他特微调过了
[00:01:11] 你可以理解成微调或者训练过了
[00:01:13] 反正他不说人话
[00:01:15] 他不说人话
[00:01:16] 但是他可以做做决策
[00:01:18] 就像训练一个神经网络
[00:01:19] 但是是一个通用的
[00:01:20] 介于大圆模型和这个以前的那种
[00:01:23] 比如说决策树
[00:01:24] 你们可能学过一个非常小的模型之间
[00:01:26] 但是它又可以真的可以干事
[00:01:28] 你可以看看他真的是可以玩游戏的
[00:01:30] 然后这个嗯反正这个新闻呃火了火了
[00:01:35] 然后他他给自己一个名字叫system one
[00:01:38] 叫真正人类意义上的实施决策
[00:01:41] 其实这不是一个很新的技术
[00:01:42] 而且嗯你你们过去如果关注过这个赛道的话
[00:01:46] 会看到
[00:01:47] 确实也有一些人试图做这种非常快的这个模型
[00:01:51] 但是这次火了以后
[00:01:52] 他就正式把这个赛道打开了
[00:01:54] 把这个赛道打开意味着什么呢
[00:01:57] 你们作为AI native时代的年轻人
[00:02:00] 如果有一个模型可以在100ms
[00:02:03] 当然你乐观一点
[00:02:04] 如果模型可以裁的更小一点
[00:02:05] 可以在50ms或者更短的时间里面
[00:02:08] 做实时的决策
[00:02:10] 那你可以用它来干什么呢
[00:02:13] 你可以用它来感知这个周围的环境
[00:02:16] 比如说为什么人和人沟通
[00:02:18] 和人和机器沟通
[00:02:19] 你会感觉到有很大的差别
[00:02:22] 前两天好像我看到一个大家在传
[00:02:25] 说和AI演员对话
[00:02:27] 然后那个AI演员突然就开始说广东话了哈
[00:02:31] 然后那个另外两个就在他们英语对话的时候
[00:02:33] 突然就说说广东话
[00:02:35] 而且这个AI的生成的数字
[00:02:37] 人和人之间呃是有很大的延迟的
[00:02:40] 但如果你有一个100ms
[00:02:42] 200ms的小的决策模型
[00:02:44] 你可以做什么呢
[00:02:45] 你可以让它做决策
[00:02:47] 然后是实时生成脸上的微表情
[00:02:50] 根据你说的话
[00:02:51] 然后这样的话
[00:02:52] 你就可以得到了
[00:02:53] 一个非常有实时性人感的东西
[00:02:56] 这是一个非常好的
[00:02:57] 就以前的大圆模型
[00:02:59] 在那个延迟下
[00:03:00] 他可能有这个能力做
[00:03:01] 但是做的就不是那么好
[00:03:03] 但是你你今天就可以得
[00:03:04] 你看他能打打游戏
[00:03:05] 它就可以生成这个有人感的人
[00:03:07] 然后他可以甚至可以哄这个小朋友睡觉
[00:03:10] 因婴儿睡不着的难题就彻底解决了
[00:03:13] 所以他开了一个非常非常大的赛道
[00:03:16] 呃至少这次火了以后
[00:03:18] 我们看到这件事
[00:03:19] 当然也许已经之前已经也有人
[00:03:21] 也也有人看到嗯对所以其实呃我要说的是
[00:03:28] AI的进化速度其实非常非常的快
[00:03:32] 嗯这个视频完全是由GPT6啊生生成的
[00:03:39] 大概是从你看到
[00:03:40] 从1956年到58年到1960年
[00:03:44] 感知与规划机器走出实验室
[00:03:47] 然后到70年到90年代的人工智能的寒冬
[00:03:50] 然后这个寒冬到97年的时候
[00:03:52] 我们是用搜索算法
[00:03:53] 第一次击败了人类的世界冠军
[00:03:55] 97年你看这个经历了很长时间的发展
[00:03:58] 然后到后面你突然发现从呃2012年开始
[00:04:02] 这个alex net开始
[00:04:03] 这个世界就发生了很大的呃变化
[00:04:09] 发展的速度真的是呃始料未及
[00:04:13] 到2016年那个时候我在现场看直播
[00:04:17] 2017年的时候
[00:04:18] 我们也也关注
[00:04:19] 那时候我在读PHD
[00:04:20] 我也在关注像磁向量
[00:04:22] 这个transformer
[00:04:24] BT
[00:04:25] 这些嗯可以用来干什么有趣的有趣的事情
[00:04:30] 那你看短短的2017年
[00:04:31] 那个时候你们是在上高中吗
[00:04:34] 还是在上初中
[00:04:37] 都没有
[00:04:38] 现在已经2026年了
[00:04:39] 这已经是接近10年以前的事情了
[00:04:42] 然后到2020年的时候
[00:04:45] 他们训练了gt3
[00:04:47] 然后gt3当时是一个嗯大家都觉得很吃惊
[00:04:52] 我们为什么要做一个那么大参数的模型
[00:04:54] 然后直到2022年的时候
[00:04:55] 我们知道为什么为什么需要了
[00:04:57] 这个到现在也不过是呃4年的时间
[00:05:01] 很快的从2020年到2023年
[00:05:03] 他就可以可以看图了
[00:05:05] GP4O在生成的时候
[00:05:06] 它可以生成就可以识别语音
[00:05:09] 它可以多个多个模态
[00:05:11] 然后到开源模型
[00:05:14] Gemini
[00:05:18] 诶生成视频你们很难想象
[00:05:21] 就今天你看到这个抖音
[00:05:22] 上面全是这个短AI生成的短视频
[00:05:25] 然后我们那个计算机学院楼下的那个那个板上
[00:05:27] 也是AI生成的
[00:05:28] 就2024年的时候
[00:05:30] SORA才第一次发布
[00:05:32] 2024年9月的时候才有的
[00:05:33] chal salt的o one的模型
[00:05:34] 2024年9月
[00:05:37] 你还能想象从2024年9月到现在
[00:05:40] 这个GP6s pro
[00:05:41] 就在这么短的时间里面发生了
[00:05:44] 这么多的事情
[00:05:45] 第一个开源的这个chal salt DP c卡one
[00:05:59] 对这是刚刚发生的事情
[00:06:03] Millennium problem
[00:06:05] 哼
[00:06:05] 然后就这么被暴力大力出奇迹给啊解决了
[00:06:21] 对最后的彩蛋是这个视频完全是是
[00:06:24] 但不知道是哪位博主直接用GPUSA制作的
[00:06:27] 然后我也我也我也会想
[00:06:29] 呃如果我们有一个比较好比较大的素材库
[00:06:31] 其实本身比如说YOUTUBE或者哔哩哔哩
[00:06:34] 你你本身可以下载嘛
[00:06:35] 你可以用工具来下载
[00:06:36] 你就拥有了这个世界上所有的所有东西的入口
[00:06:39] 然后呃你创作创造任何东西都会变得
[00:06:44] 很容易
[00:06:45] 然后你们你们有没有同学看过这个这个剧
[00:06:50] 这个silicon valley
[00:06:53] 这这这是个是个第一S1的101的名场面
[00:06:57] 他大概是几个
[00:07:01] 几个伙伴们
[00:07:03] 他们要要去做一件改变世界的事情
[00:07:09] 啧
[00:07:09] 千百年来我们这种书呆子一直都被欺负
[00:07:13] 在人工智能时代终于可以可以出人头地
[00:07:18] Ok anyway
[00:07:19] 这个呃这个这个不重要
[00:07:21] 但是呃可以看到的是
[00:07:24] 这个世界的发展在在加速
[00:07:26] 就这世界发展的速度可能比比大家想象的要快
[00:07:29] 所以可能我们要
[00:07:32] 呃呃要可能要回过头来想一想
[00:07:34] 在就业市场上面临的挑战
[00:07:36] 但这也同样意味着
[00:07:37] 这个世界上有很多的机遇
[00:07:38] 就比如说这个JEFF带带火的这样的
[00:07:42] 一种我能看到的生态
[00:07:44] 不知道是它一瞬间就会到来
[00:07:46] 还是可能要等几年再等技术成熟一下
[00:07:49] 也许要等到一年跟上
[00:07:51] 但是我们不知道
[00:07:52] 就就你看到今年春晚的时候
[00:07:54] 那个没有人敢的那个人形机器人
[00:07:57] 然后你你到明年的时候
[00:07:58] 你就能看到一个非常有人感的
[00:08:00] 能够实时做出非常棒的微表情的啊机器人
[00:08:03] 有点可怕对
[00:08:05] 然后呃最近也有一个这个NO brown的访谈
[00:08:09] 来自来自呃open AI
[00:08:12] 他跟我的判断
[00:08:13] 可能我不知道他泄露了泄露了多少
[00:08:16] 就是他觉得可能呃虽然现在的
[00:08:20] AI模型的短板是呃也也是品位
[00:08:24] 也就是说呃他他对这个问题的定义是说
[00:08:27] 模型对接下来应该做什么的
[00:08:30] 直觉做的还不够好
[00:08:31] 我们说模型被训练成了这个prompt的舔狗
[00:08:34] 你你你做什么
[00:08:35] 他就会盯着你那个就疯狂的做
[00:08:37] 然后同时他也有一点点这种reward hacking的倾向
[00:08:40] 会会快速用最快最脏的方式把你要的任务完成
[00:08:44] 因为对他来说
[00:08:45] 他把任务完成才得到reward了
[00:08:47] 那他就不会不断的会往这个方向去强化
[00:08:51] 那么呃有的时候它生产的东西
[00:08:54] 从长期主义角度来看
[00:08:55] 它是呃可能不满意的
[00:08:57] 这就是一个对接下来该做什么的直觉
[00:08:59] 他现在因为强化训训练有学习有反馈的信号
[00:09:02] 他就会执着的去做立即有反馈的东西
[00:09:06] 但是同样我我觉得没有什么道理
[00:09:10] 根本道理
[00:09:11] 我们不能用更多的合成的数据去告诉模型
[00:09:15] 嗯你你你在做这件事情的时候
[00:09:17] 你可以想的更远一点
[00:09:18] 无非就是你chal salt时候
[00:09:20] 那头几个token决定你要
[00:09:22] 你要你要做什么
[00:09:23] 然后他也提到了可验证和不可验证的边界
[00:09:26] 比如说你觉得可能品味是一个不可验证的东西
[00:09:28] 但也许没有那么难
[00:09:30] 但你觉得数学是一个可验证的东西
[00:09:32] 是可能验证也没有那么的呃容易
[00:09:35] 因为你就算是把它formalize了
[00:09:37] 你你的autumn formalization
[00:09:38] 再从你的一个自然语言描述的
[00:09:41] 问题到这个形式语言描述的问题之间
[00:09:45] 还是有有gap的
[00:09:46] 就像啊前段时间有一个很很有意思的笑话
[00:09:49] 有人声称证明了哪一个黎曼猜想
[00:09:51] 还是P等于NP好像P不等于NP
[00:09:53] 然后但是后来大家发现
[00:09:54] 他那个形式化证明里面
[00:09:56] 等于说它定义那个问题
[00:09:57] 就是一个nothing不存在的定义
[00:09:59] 然后他说我证明了一个
[00:10:00] 就就证明了一等于一这样的东西
[00:10:02] 然后最后他写了大概几千页的证明
[00:10:04] 然后最后证明一等于一有这个感觉
[00:10:09] 所以对我觉得对我们的启发来说是
[00:10:12] 比如说OpenAI
[00:10:13] 他说他有all in i r ISI
[00:10:16] 然后呃那我们就回头再想
[00:10:19] 其实呃the bitter lesson到今天就是the scaling law
[00:10:23] 到今天可能还没有停止
[00:10:26] 就比如说我看到GP6
[00:10:28] 它发布以后
[00:10:30] 我最大的感受就是
[00:10:32] 可能OpenAI摸到了一个呃门道
[00:10:35] 这个门道呃我我不知道这个应该怎么叫
[00:10:39] 大概就叫我我可能叫它数据分布工程
[00:10:42] 也就是说嗯GP6它有我我前面说过嘛
[00:10:47] 它有非常惊人的空间推理能力
[00:10:49] 它它可以理解一个图片里面的空间关系
[00:10:53] 然后从而他在画图方面
[00:10:55] 在生成模型方面都做的的都做的非常好
[00:10:58] 那毫无疑问是因为他
[00:11:00] 在训练的时候肯定加入了这部分的数据
[00:11:02] 可能基模训练的时候就加了这些数据
[00:11:04] 然后同时他在后训练的时候
[00:11:05] 强化学习的时候
[00:11:06] 也有更多的数据帮助他去理解这个空间
[00:11:11] 给他反馈
[00:11:12] 说这样做是好
[00:11:13] 这样做是不好
[00:11:13] 或者对和错
[00:11:14] 那另外一个维度的skin law就变成了以前以前嘛
[00:11:20] 我们说好大模型
[00:11:21] skin老师
[00:11:22] 我有更多的训练数据
[00:11:23] 他就可以基模就可以变得更好
[00:11:25] 所以ENTROPIC去买书
[00:11:26] 然后去烧书
[00:11:27] 他只要买了书
[00:11:28] 烧了书
[00:11:28] 他有了绝版的数据
[00:11:30] 他就可以比别人呃别人更强
[00:11:35] 我觉得他们看到一点
[00:11:36] 如果我们有一个基模
[00:11:38] 他已经做的很好了
[00:11:40] 我们可以再加一个他没有见过的领域
[00:11:43] 然后强化学习
[00:11:44] 然后他就会在所有的任务上都做得更好
[00:11:47] 这是一件非常恐怖的事情
[00:11:48] 你看到就就刚才我们看了那个视频
[00:11:50] 说呃模型是一代一代怎么怎么呃发展过来的
[00:11:54] 嗯那最早的时候模型就完全就是语料
[00:11:58] 它是这个语言的token large language model
[00:12:01] 然后他是先训练了语言
[00:12:04] 然后再训练了可能视觉的多模态训练了一部分
[00:12:08] 然后他训练了数学
[00:12:10] 你看这人工智能就是大圆模型
[00:12:12] 它发展的脉络是先从语言到数学语言
[00:12:16] 然后再到多模态
[00:12:17] 他学会了数学以后
[00:12:19] 他才再学会空间感知的关系
[00:12:21] 然后他可能就不需要那么多数据
[00:12:23] 因为如果你从零开始训练一个
[00:12:25] 比如说巨型智能的模型
[00:12:26] 它很容易什么呢
[00:12:27] 你你会先要有大量的模拟器数据
[00:12:29] 然后模拟器数据我们的模型是一个reward hacker
[00:12:32] 它就很容易根据你的模拟器里面的
[00:12:34] 比如说光照的那种渲染的一点非常细微的
[00:12:37] 比如说那个角上的光像素点是亮还是不亮
[00:12:40] 它就能够得到这个road hack的反馈信号
[00:12:43] 它不能泛化
[00:12:44] 但是如果你是一个大模型
[00:12:46] 一个基座很大的机动模型
[00:12:47] 它既会语言
[00:12:48] 又会数学
[00:12:49] 还会写写歌写程序
[00:12:52] 那如果你在这样的一个好的基础机动模型上面
[00:12:55] 再给它做空间感知的训练
[00:12:57] 可能就不需要那么多数据了
[00:12:59] 所以每加一个就就我猜测
[00:13:01] 你每加一个新的人类的领域
[00:13:03] 他需要的数据不是更多
[00:13:05] 反而是更少
[00:13:05] 它就能达到一个反华的效果
[00:13:08] 这是件非常恐怖的事情
[00:13:09] 然后人跟模型是反过来的
[00:13:11] 人是先学的世界模型
[00:13:13] 就我们在刚讲刚婴儿出生的时候
[00:13:16] 我们就和这个世界交互
[00:13:17] 先学的是世界模型
[00:13:19] 然后
[00:13:20] 你看他要到
[00:13:21] 训练一年两年3年的世界模型以后
[00:13:24] 他才能开始说话
[00:13:25] 你那幼儿园的时候小朋友都还说话都说不利索
[00:13:28] 他是先有世界模型再训练语言
[00:13:31] 再训练数学
[00:13:31] 再比如说变成我这读一个PHD
[00:13:34] 训练这个research taste
[00:13:35] 然后大圆模型反过来
[00:13:37] 但我们看到的是
[00:13:38] 不管按照什么顺序训练
[00:13:40] 只要你有足够多的数据
[00:13:42] 你有skin law这个模型就能训成
[00:13:45] 当模型成功了
[00:13:46] 人也成功了
[00:13:47] 所以他们可能看到了这个数据分布
[00:13:49] 工程上的这样的一个呃飞轮
[00:13:52] 它只要决定在什么时候给模型
[00:13:55] 按照什么样的比例注入数据
[00:13:57] 模型的架构不重要
[00:13:59] 算法不重要
[00:14:01] 只要训练不崩掉
[00:14:02] 只要这个讯推能够一致
[00:14:04] 我不能训练出一个参数推理的时候
[00:14:06] 他这个参数参数变了
[00:14:08] 只要这些工程性的问题能解决
[00:14:11] 它只要有十倍100倍的数据
[00:14:12] 这个问题就解决了
[00:14:14] 可能算法就你用一个更好的算法
[00:14:15] 用更好的模型结构
[00:14:16] 可能会能够有一定程度的提升
[00:14:18] 但是对他来说
[00:14:19] 只要这个飞轮还在
[00:14:21] 只要他有钱
[00:14:21] 他就可以无限的呃scale下去
[00:14:23] 所以这是一个非常恐怖的事情
[00:14:24] 基摩场说
[00:14:26] 一一方面我们看到比如说a e care
[00:14:28] 今年投稿的数量到达新的巅峰了
[00:14:31] 就就学术界更多的用这个AI s lop来充满
[00:14:35] 这个对
[00:14:37] 因为同学们都想发论文嘛
[00:14:38] 你们你们如果还想保研的话
[00:14:40] 你们都一定会想发一篇论文
[00:14:41] 然后另外一个方面是
[00:14:42] 这个机膜厂已经不care这些东西
[00:14:44] 他说你们你们在一个小规模上做任何实验
[00:14:46] 对他来说都没有意义
[00:14:47] 因为因为他看到了另外一个维度的skin lo
[00:14:51] 然后你你不在禁摩场
[00:14:52] 你没有没有这个没有任何资源可以做这件事
[00:14:54] 你对这个分布
[00:14:55] 比如说在什么时候
[00:14:56] 家境这个数据一无所知
[00:14:58] 然后你就算是能做一些实验
[00:15:00] 在一些小规模上有一些非常酷的想法
[00:15:03] 可能你也不需要写一篇paper
[00:15:05] 你只只要写一个blog post
[00:15:06] 然后你今天只要写个blog post
[00:15:09] 然后他们的那个AI看到这个blog post就可以
[00:15:12] 他们到他们的数据上去试一试
[00:15:14] 他们他们有RSI的loop
[00:15:16] 就他们先要构成一个人工智能上面
[00:15:19] rise recursive improvement的一个循环
[00:15:22] 然后他靠这个人工智能循环
[00:15:24] 那就可以去做任何事
[00:15:25] 然后飞轮就蹬起来了
[00:15:27] 有点恐怖
[00:15:28] 我觉得嗯就这是一个他们要要做自动化的能力
[00:15:33] 能力产生
[00:15:35] 一旦这个这个闭环被他们探索的
[00:15:38] 基本上接近收敛
[00:15:39] 而且在AI的帮助下
[00:15:40] 这个闭环我觉得肯定会很快的收敛
[00:15:43] 因为AI比任何一个人类都要强
[00:15:44] 他就可以去发现找一个新领域
[00:15:46] 我不知道下一个领域是什么
[00:15:48] 情感计算还是这种化学
[00:15:51] 因因为我我我听说这个看到消息说
[00:15:54] ANTHROPIC要做一个这个wet lab
[00:15:59] 去做这个生物工程的实验
[00:16:01] 那也许生物工程
[00:16:05] 或者比如说甚至预测这个老鼠的行为
