[00:00:00] 呃我们会在期末考试之前再安排一次答疑
[00:00:03] 那个可能会在教室里
[00:00:05] 可能会在计算机楼
[00:00:06] 但是就因为一般来说
[00:00:07] 你们现在应该开始先复习那个临近的科目
[00:00:10] 所以呃可能你们现在还没有复习操系统
[00:00:12] 我会再增加一次答疑
[00:00:15] 大家不用不用担心
[00:00:16] 然后如果你们有任何呃具体的问题
[00:00:18] 也可以问我或者问助教邮件
[00:00:21] 问
[00:00:22] 或者在QQ群里直接艾特我或者助教都是可以的
[00:00:25] 我可能不会立即的回复
[00:00:27] 但是我肯定定期会会回复的好
[00:00:29] 我今天来给大家总结一下
[00:00:31] 这个学期学了什么
[00:00:33] 耳朵都听到生茧的
[00:00:36] 废话说
[00:00:36] 从应用应用程序的视角来看
[00:00:38] 操作系统就是一组管理硬件资源
[00:00:40] 提供应用生态支撑的API
[00:00:43] 一组system cost
[00:00:44] 然后我们是怎么在学完了操作系统这门课以后
[00:00:48] 怎么理解这句话
[00:00:49] 我从第一节课的时候
[00:00:50] 我就开始说这句话
[00:00:52] 你们是从一个具体的程序的模型来出发的
[00:00:55] 你们因为你们总是写程序
[00:00:57] 你在我的操作系统上面看到的所有的东西
[00:00:59] 你们我看大家都带的笔记本电脑
[00:01:01] 不管是你们打开一个word
[00:01:03] 打开一个浏览器
[00:01:04] 还是你们在vs code里面编程的时候
[00:01:06] 那个插件会帮你编译运行
[00:01:08] 在这个过程当中
[00:01:10] 是应用程序无时不刻的在帮助你
[00:01:13] 不管他是用什么语言啊写的
[00:01:15] 你都可以把它想象成是一个
[00:01:17] 比如说C语言写的程序
[00:01:19] 因为比如说你是Python或者JAVASCRIPT
[00:01:21] 那你可以等价的把这些功能翻译成
[00:01:24] 一个C语言的呃代码
[00:01:26] 然后这个代码它就在一个虚拟化的环境里
[00:01:30] 也就是进程里
[00:01:31] 进程拥有自己的地址空间
[00:01:33] 然后他会呃运行
[00:01:35] 你运行的时候就会向操作系统发送系统调用
[00:01:39] 那你会想到一个进程想要干什么样的事
[00:01:42] 就会做什么样的系统调用
[00:01:44] 想要改变这个其他的进程创建一个进程
[00:01:47] 那他就需要用进程管理的系统在用
[00:01:49] 他想要在地址空间里面
[00:01:51] 原本一个指针访问是非法的位置
[00:01:53] 去填上一块内存
[00:01:55] 那它就要用map这样的申请内存的系统调用
[00:01:58] 然后它还可以创建线程
[00:02:00] 它还可以在多个线程之间实现互斥和同步
[00:02:04] 以及它可以在文件系统上面留下
[00:02:06] 这种persistent的痕迹
[00:02:08] 它甚至还可以等待
[00:02:10] 我的数据要落盘
[00:02:11] 他才继续执行这样的这样的功能
[00:02:14] 也就是说你想到的
[00:02:15] 但凡是和应用程序开发相关合理的事情
[00:02:19] 这是一个计算机系统里面的公理
[00:02:21] 如果你认为这件事情是合理的
[00:02:22] 那它它就一定有一个办法能做
[00:02:24] 要么呃你在内存和CPU里面的计算
[00:02:28] 就可以做一个turing machine
[00:02:30] 一个纯粹的计算的机器
[00:02:33] 他就可以做的呃事情
[00:02:34] 你你当然可以在你的进程
[00:02:36] 地址空间里面直接完成
[00:02:37] 但如果你的进程
[00:02:38] 比如说想要去和这个外面的世界打一个交道
[00:02:41] 比如说要发射一个导弹
[00:02:43] 那这样的事情他没有办法通过纯粹的计算
[00:02:46] 在自己的这个状态里面完成
[00:02:47] 那他就必须要借助操作系统
[00:02:49] 这就是你们理解的应用视角操作系统
[00:02:51] 它是一组管理硬件资源
[00:02:54] 提供应用生态支撑的呃AAPI
[00:02:56] 然后呃这个概念
[00:02:58] 从你们最小的那个单片机
[00:03:02] 从一个玩具里面的一个可能唱歌的一个芯片
[00:03:05] 然后到嗯我们手机
[00:03:08] 手机电脑再到和数据中心里面的超计算机
[00:03:11] 人工智能的推理的集群
[00:03:13] 都有操作系统
[00:03:14] 而且几乎他们的操作系统的形态都是
[00:03:18] 比较类似的
[00:03:20] 当然是我讲的狭义的这种操作系统
[00:03:21] 我们现在会说好
[00:03:23] AI来了
[00:03:23] 那么我们需要一个agent的操作系统
[00:03:26] 那什么是A证操作系统呢
[00:03:27] 可能我们现在还不知道
[00:03:28] 到底什么才能算一个A证操系统
[00:03:30] 但我们可以知道的是
[00:03:32] 我们应该不是从零开始从一个BAROMMETAL
[00:03:34] 从一个呃裸机上面去构建一个新的操作系统
[00:03:37] 而是我们应该会借助像android这样
[00:03:39] 移动操作系统
[00:03:40] 我们说android的IOS是非常成功的移动操作系统
[00:03:43] 但他们也不是
