[00:00:00] 啊今天我们来讲一讲大家很熟悉的
[00:00:03] 平时都在嗯工作的时候使用的终端
[00:00:07] 然后以及这个终端在后面我们看到的一整个世界
[00:00:11] 有一点像我们回到11970年代的时候
[00:00:13] 我们的呃我们还没有一个高像素的图形显示器的时候
[00:00:19] 大家就能完成呃所有的你看到的今天能做的事情
[00:00:24] 这到底是怎么怎么做到的
[00:00:25] 那我们就从终端呃开始讲起
[00:00:29] 那我们就再把时间往前呃倒一倒
[00:00:33] 我们来讲一讲键盘的老祖宗
[00:00:35] 键盘的历史可能比大家想象的要长
[00:00:38] 甚至keyboard
[00:00:38] 当我们讲keyboard的时候
[00:00:40] 你们第一个反应肯定是想到这个这个东西
[00:00:42] 这个你能你们每个笔记本电脑上有的那个keyboard
[00:00:46] 但实际上最早的keyboard不是用来干呃这件事的
[00:00:50] 最早的时候你可以追溯到公元前三世纪的那个叫呃water organ
[00:00:56] 是一个水风琴
[00:00:57] 然后再后来有那个管风琴
[00:00:59] 管风琴的声音很好听
[00:01:00] 然后到1500年的时候
[00:01:03] 这里有一个很有意思的小视频
[00:01:07] 大家呃记得呃就看到他的时候
[00:01:11] 你就会想象到呃我们历史上面看到的所有的东西
[00:01:15] 今今天看到一些很有趣的东西
[00:01:17] 呃可能都是都是必然的
[00:01:24] 这是一个最早的钢琴的原型
[00:01:28] 然后他就是一根一根一根的琴弦
[00:01:31] 然后琴弦呃在你按下去的时候
[00:01:34] 今天如果今天你们知道钢琴的话
[00:01:36] 呃我刚才刚才有这样的一个呃呃一个描述描述
[00:01:42] 钢琴是一个击奏弦鸣乐器
[00:01:47] 在你按下一个keyboard的键盘上面的按键的时候
[00:01:50] 嗯有一个锤子会打到那个一根琴弦上
[00:01:54] 然后就听到了
[00:01:56] 这样非常悦耳的声音
[00:02:01] 对这就是keyboard
[00:02:03] 这是我们的呃呃keyboard
[00:02:05] 然后你们想
[00:02:06] 你们这个发明已经从比如说距今已经有500多年了
[00:02:12] 有已经500年了
[00:02:13] 在500年以前就有就有这样的
[00:02:16] 你甚至更早的这个水风琴的时候
