[00:00:00] 欢迎大家来到呃这个学期的第一次hacking day
[00:00:03] 我说过我们每个呃月就呃每以每四次课
[00:00:08] 两周为单位会有一次
[00:00:10] 课程是不讲我们考试相关的内容的
[00:00:14] 但是我觉得因为我正好有课时
[00:00:16] 所以我可以随便跟大家呃讲一讲
[00:00:18] 至少无论如何是和操作系统课
[00:00:21] 包括你们做实验会有关系的内容
[00:00:23] 呃比如说我今天就会讲skin law
[00:00:25] 你们可能听说过这个词
[00:00:27] 这是一个非常有名的论文
[00:00:28] 里面呃叫skin law
[00:00:30] 然后我会讲讲我对skin law的理解
[00:00:32] 然后我对GENTICAI的理解
[00:00:34] 然后我有一个
[00:00:35] 今天有一个小彩蛋是我想要
[00:00:38] 做一个让AI帮我做一个最小的操作系统
[00:00:42] 然后我没有我我只我什么也没有做
[00:00:45] 然后我现场准备演示一下
[00:00:46] 看今天有没有可能翻车呃有可能我今天就翻车
[00:00:49] 翻在这了
[00:00:50] 但至少大家可以看到
[00:00:52] 今天的AI是就我们每个人都可以用到的
[00:00:55] AI是什么样的
[00:00:56] 然后我们应该怎么呃应对
[00:00:58] 比如说他犯下的错误
[00:00:59] 然后或者是他如果就一遍做对了
[00:01:01] 我们又可以
[00:01:02] 可以做什么
[00:01:04] 对每每两周都会有一次这个skate
[00:01:07] 这个coding hacking day
[00:01:09] 然后下一次应该我会请助教来讲
[00:01:12] Common line interface
[00:01:13] 就你们看到我在这里要打开一个color code
[00:01:17] 这是一个命令行的接口
[00:01:19] 然后关于命令行它有些神秘的地方
[00:01:21] 它怎么来的
[00:01:21] 它你们呃现在的命令行是什么样的
[00:01:25] 大家大大家可以期待一下
[00:01:27] 以及今天下午就每周四
[00:01:29] 我上次第一次课就说了
[00:01:31] 每周四下午的04:30到05:30是office hour
[00:01:33] 我会在计算机楼的809
[00:01:36] 如果有想要和我聊天的同学
[00:01:38] 可以
[00:01:39] 可以过来
[00:01:39] 我会我会在嗯好
[00:01:42] 那我就先从呃大模型开始讲起
[00:01:45] 你们第一次用的用上大模型是什么时候
[00:01:48] 呃我用
[00:01:50] 我我印象中是从他刚刚呃爆火开始
[00:01:55] 我就试图在上课的时候使用它
[00:01:58] 我发现它还是很厉害的
[00:02:00] 因为嗯呃我那个时候
[00:02:02] 我那个时候上过操作系统课
[00:02:03] 还会讲内核
[00:02:04] 是一门非常硬核的操作系统课
[00:02:06] 在X7P刚发布两辆两个月的时候
[00:02:10] 那时候GP3.5
[00:02:12] 大家还在各种微调一个叫BT的语言模型的时候
[00:02:15] 突然间呃我们就感觉世界好像变了
[00:02:19] 因为呃ChatGPT是一个面向所有人的聊天工具
[00:02:22] 你可以跟他聊天文地理
[00:02:24] 你情绪不好可以找他发泄
[00:02:26] 然后甚甚至我可以问他呃编程问题
[00:02:29] 我们会问他诶
[00:02:30] 这个这样的程序编译器
[00:02:33] 会对它做出怎么样的优化
[00:02:35] 那么呃我们的大圆模型
[00:02:38] 它至少要看懂这段的C代码
[00:02:40] 里面有一个inline assembly
[00:02:42] 相对来说这个inline assembly还是有语料的
[00:02:44] 但是这个语料其实并不是很多
[00:02:46] 你你你想
[00:02:47] 你们呃接触的像整个训练集里面
[00:02:50] 关于内联汇编的文档并不是很多
[00:02:54] 他可能见过
[00:02:54] 但是就可能就这么几遍就过去了
[00:02:56] 但他却回答的非常好
[00:02:58] 他对编程本身有很好的直觉
[00:03:00] 然后在那个时候我就感到
[00:03:02] 世界可能嗯真的是呃完全变了
[00:03:05] 然后再在一路看到大语言模型
[00:03:09] 变得越来越厉害的时候
[00:03:11] 我们就会想
[00:03:11] 我就喜持续的想一个问题
[00:03:14] 大圆模型为什么为什么可以可以做到这么厉害
[00:03:18] 我我最后有一个有一个结论
[00:03:21] 这个薛定谔他他有一个
[00:03:23] 有有一本小小册子
[00:03:25] 我大概也是像你们这么大的时候看的那个册子
[00:03:27] 他刚开始最开篇的时候就抛出了一个问题
[00:03:30] 就说我们为什么这么大
[00:03:33] 好像比较好笑的一个问题
[00:03:34] 为什么我们这么大
[00:03:35] 那相对来讲是为什么原子这么小
[00:03:40] 哎这其实是一个呃非常深刻的呃深刻的问题
[00:03:43] 和今天的比如说大圆模型
[00:03:45] skin law
[00:03:46] 其实有有一定的呃关系的
[00:03:49] 这已经100多年以前的事情了
[00:03:51] 他的呃这个里边的逻辑是这样的
[00:03:55] 呃如果啊假设比如说大家相信呃量子力学
[00:03:58] 或者就相信比如说经典的这个原子理论
[00:04:01] 那在这个经典原子理论或者量子力学上
[00:04:03] 每一个原子它携带的信息费是非常少的
[00:04:08] 在在你们学化学的时候
[00:04:09] 它是一个非常精确的模型
[00:04:11] 一个原子外面有多少个电子
[00:04:13] 然后这两个原子之间可以怎么样的反应
[00:04:15] 它是一个它是一个相当经典的模型
[00:04:18] 然后一个足够小
[00:04:19] 那你可以想象的是一个很小的东西
[00:04:22] 一个极小的几个原子组成的系统
[00:04:25] 它就不应该有我们生命这么复杂的呃行为
[00:04:30] 所以大其实是应对呃整个呃世界宏观宏观
[00:04:34] 世界复杂性的一个必要条件
[00:04:36] 因为比如说人
[00:04:37] 生物
[00:04:37] 在一个复杂的环境里面
[00:04:40] 这个是这是必要的大
[00:04:42] 所以首先大圆模型的大
[00:04:43] 我解释了第二个
[00:04:45] 第二个有意思的是
[00:04:47] 大语言模型为了选为什么选了语言诶
[00:04:50] 你们有没有想过想过这个问题
[00:04:51] 为什么大语言模型选的是语言
[00:04:54] 因为在大语言模型之前
[00:04:56] 深度神经网络成功的那个爆炸性的案例
[00:04:59] 是阿尔法go
[00:05:00] 2016年的时候
[00:05:02] 我一会儿会讲
[00:05:03] 回到这个例子
[00:05:04] 2016年的时候
[00:05:05] demand开发了世界上第一个击败人类世界冠军
[00:05:11] 围棋的呃阿尔法go
[00:05:13] 那个时候处理
[00:05:16] 那在在在这之前就是alex net
[00:05:18] 他他做了图像分类这样的一个呃一个任务
[00:05:22] 诶
[00:05:22] 突然大家发现我们训练深度神经网络
[00:05:24] 可以可以去看懂图像了
[00:05:27] 诶那呃为什么
[00:05:30] 直到今天发现质变的是大语言模型
[00:05:33] 其实我我自己的理解是
[00:05:34] 语言其实是人类已经沉淀了几千年的一个
[00:05:38] 世界模型
[00:05:40] 一个非常好用的
[00:05:42] 可以在人和人之间对齐的物理世界的模型
[00:05:46] 我举这样的一个例子
[00:05:47] 你们就知道我经常讲讲这个例子
[00:05:49] 我说比如说我说我今天呃来上课的路上
[00:05:53] 我看到一个美女K
[00:05:56] 这是一个非常短的一句话
[00:05:57] 在大语言模型里面
[00:05:59] 但是它背后隐含了什么样的信息呢
[00:06:03] 隐含的是我在这个过去几十年里面
[00:06:07] 我吃了30几年饭了
[00:06:08] 我见过无数的女生
[00:06:10] 然后美女对我来说
[00:06:11] 是有一个是有一个我自己的理解的
[00:06:14] 然后每一个人又有一个不同的理解
[00:06:17] 你你有
[00:06:18] 你我不知道你们男生会不会经常卧谈
[00:06:20] 女生也会就说哎这这个到底谁是帅哥
[00:06:23] 谁是美女
[00:06:23] 然后你们的宿舍里面的室友会就某些哼情况
[00:06:28] 争执不下
[00:06:30] 所以你看很有意思
[00:06:31] 语言是一个抽象
[00:06:32] 他把很多的信息都丢掉了
[00:06:35] 你的你让让你闭上眼睛
[00:06:37] 脑袋里面
[00:06:38] 你让让你的脑袋去defuse出一个美女来
[00:06:40] 你们每个人defuse出来的都不一样
[00:06:42] 但不一样的同时
[00:06:43] 它们又有一个结构上的相似性
[00:06:47] 因为人类世界
[00:06:47] 我们每一个人
[00:06:48] 都是在同样类似的环境里面长大的
[00:06:51] 所以你们同从小到大看到的人虽然不一样
[00:06:56] 接触到的东西也不一样
[00:06:57] 你们在不同的地方长大
[00:06:58] 文化也不一样
[00:07:00] 但是呢那个文化又基本上是相同的
[00:07:02] 因为我们是有一个共享的物理世界
[00:07:04] 你们都是上小学上中学
[00:07:06] 然后在小学上中学时候学的是同一套教材
[00:07:09] 就是因为你们有一个同样又有一点不一样的
[00:07:12] Grounding
[00:07:13] 所以呃你们之间可以用语言来对齐
[00:07:16] 语言就是找到了那个整个人类世界里面
[00:07:19] 抽象的那个可以
[00:07:20] 人类可以传承下去的那个那个东西
[00:07:23] 所以你你你是可以呃用大语言模型来表
[00:07:27] 一定程度上表达这个世界
[00:07:29] 所以也看到大元模型
[00:07:29] 为什么现在呃工作的这么好
[00:07:31] 以及有些时候为什么呃工作的不那么好
[00:07:34] 嗯你可以这样想嘛
[00:07:35] 就你没有办法和呃你的语言模型
[00:07:39] 没有办法和外星人对齐
[00:07:41] 对
[00:07:41] 你你没有办法直接用把你的语言和外星人对齐
[00:07:44] 如果你想和外星人对齐
[00:07:45] 那他可能要呃有别的要用别的方法
[00:07:48] 当然你现在也可以想
[00:07:49] 有意思的是嗯嗯大家知道
[00:07:53] 在70应该是70年代的时候
[00:07:55] 美国发射了一个旅行者号的卫星
[00:07:57] 然后那个卫星大概是说
[00:07:59] 万一有一天有外星人捕获了这个卫星
[00:08:03] 它可以通过里面的一些像CD磁带
[00:08:06] 或者他有一个有有一大块板上面画的那个图案
[00:08:09] 能够大概知道诶
[00:08:09] 这是一个呃智慧生物发出的呃东西
[00:08:12] 但今天可能我们也已经不需要了
[00:08:14] 我们只要有一个多模态的模型
[00:08:15] 而且可以生成内容的图形
[00:08:19] 然后人类灭亡了也不要紧
[00:08:20] 你就把你只要把那个模型想办法
[00:08:22] 固化在南极的一个什么地方
[00:08:23] 然后以后面外星人挖出来
[00:08:25] 然后就可以可以从那个模型里面
[00:08:27] 复原出这个世界里面的东西
[00:08:29] 对我今天让生图跟模型生成一个
[00:08:31] 大家在教室里面上课的是图片或者视频
[00:08:34] 它就可以你生成一个
[00:08:35] 只需要足够多的呃参数对
[00:08:38] 所以这就是大语言和模型
[00:08:40] 然后很有意思的语言模型
[00:08:42] 它的呃工作原理
[00:08:45] OK我我稍微写一下诶
[00:08:47] 大家都都知道
[00:08:48] 语言的呃原模型的工作原理是它有一个上下文
[00:08:53] 要知道context
[00:08:54] 你们最讨厌的就是context的溢出了
[00:08:56] 不够用了
[00:08:57] 然后他可以从一个context上上
[00:09:01] 不断的向外补全文本
[00:09:03] 补全文本
[00:09:03] 所以大圆模型它有两呃两个阶段
[00:09:07] 他有一个预训练的阶段
[00:09:08] 然后再有一个呃后面再呃呃后训练的阶段
[00:09:13] 所以叫GPT叫generative pretrained model
[00:09:15] 生成式的预训练
[00:09:17] 模型它PRETRAIN的时候
[00:09:20] 他是呃可以可以直接用语文本来来训练
[00:09:25] 这相当于是先教他怎么学会说话
[00:09:28] 就怎么学会
[00:09:29] 说任何一个人类世界里面看起来正常的话
[00:09:32] 然后他再把它调成一个可以跟你对话的
[00:09:35] 一个人类的呃的助手
[00:09:37] 然后这样他就用一个特殊的符号
[00:09:39] 相当于是指人说什么什么什么
[00:09:41] 然后机器说什么什么什么什么
[00:09:44] 然后人又说什么什么什么什么
[00:09:47] 就把所有的一这个对话写在写在这
[00:09:50] 然后然后人说完了以后
[00:09:51] 他就可以大圆模型
[00:09:53] 就可以根据所有过去写过的那些那些字
[00:09:57] 然后定义一个概率分布
[00:09:58] 下一个字是什么
[00:09:59] 好的
[00:10:02] 呃大概是这样的
[00:10:03] 实际比实际这个过程会比这个要复杂一点
[00:10:05] 我们会有一个这个学期会有一个实验
[00:10:07] 让大家实现一个并行的大语言模型的
[00:10:10] 呃推理好
[00:10:12] 就这样一个
[00:10:13] 这叫next token prediction
[00:10:14] 他你们那么大的一个神经网络
[00:10:17] 它本质上就是一个概率分布
[00:10:19] 他说基于过去所有他看到的文字
[00:10:23] 它可以
[00:10:24] 当然图片最后也会变成3号
[00:10:26] 也会变成文字
[00:10:27] 它会比如说好的概率是什么0.0.1
[00:10:30] 然后什么大的概率是什么
[00:10:32] 0.00001等等
[00:10:35] 然后包括什么你的UNICODE字符
[00:10:37] 什么笑脸哭脸
[00:10:39] 每一个都有一个概率
[00:10:40] 然后他会选一个
[00:10:41] 大概就是选一个概率最大的
[00:10:43] 认为最可能的继续往后往后往后往后好
[00:10:46] 我觉得我们很惊讶
[00:10:47] 很惊讶
[00:10:48] 为什么为什么这样一个东西
[00:10:50] 它可以干好世界上所有的事情
[00:10:53] 包括编程
[00:10:54] 我我也觉得这这个历史很有意思
[00:10:57] 因为大家知道我是
[00:10:59] 以前是参加程序设计竞赛的
[00:11:01] 也就是我是我代表
[00:11:02] 某种程度上代表古法编程的巅峰
[00:11:05] 然后在2022年
[00:11:07] ChatGPT还没有出来的时候
[00:11:09] google其实嗯发布了一个非常爆炸性的产品
[00:11:13] Alpha code
[00:11:15] 你们听说过这个产品吗
[00:11:16] 没有他声称可以写代码的
[00:11:18] 就在CHEGP之前声称可以写代码的
[00:11:21] 反正是神经
[00:11:22] 就是BT那样的
[00:11:24] 呃觉transformer类的模型对
[00:11:26] 然后很有意思的是
[00:11:28] 它大概可以在呃code forces
[00:11:30] 一个一个参加编程竞赛的
[00:11:33] 这个网站上面得到2000多分的rating
[00:11:37] 那个时候就在我们来看来
[00:11:38] 是一件非常不可思议的事情
[00:11:40] 呃嗯只相当于什么呢
[00:11:42] 我有一个一个语言模型
[00:11:43] 虽然不是这样chat的
[00:11:44] 那个时候
[00:11:45] 还不是不是这样一轮一一轮chat
[00:11:47] 而是有没有想
[00:11:49] 你们大一的时候
[00:11:51] 做那个C加加的期末考试题或者算数据结构课
[00:11:55] 你们上过
[00:11:56] 数据结构课你们有期末课
[00:11:57] 上届的期末考试吗
[00:11:58] 会让你们实现一个什么什么奇怪的东西
[00:12:00] 给你个图
[00:12:01] 问你什么
[00:12:02] 它的最短路径是什么
[00:12:03] 然后那个他那个题又编的给你弯弯绕
[00:12:05] 绕的那个图不是直接给你的
[00:12:07] 他他他是一个现实中的问题
[00:12:08] 让你要变一变
[00:12:09] 然后就直接把一个问题
[00:12:11] 你就直接把一个一个什么C加加的期末考试题
[00:12:15] 那可能要写个一两百行代码的期末考试题
[00:12:18] 往这一放
[00:12:19] 那当然它是相当于一个一个文字
