[00:00:00] 呃上课之前我先在告诉大家一下
[00:00:03] 4月30号
[00:00:04] 也就是周四
[00:00:05] 我们有一个闭卷的期中测验
[00:00:07] 测验就到
[00:00:09] 前面互斥同步之前不包括同步的呃内容
[00:00:13] 然后你们需要复习一下
[00:00:15] 比如说现成的概念
[00:00:17] 这些
[00:00:18] 我我应该是会考的
[00:00:19] 嗯大家不用太紧张
[00:00:22] 第二个如果你们五一有出游计划
[00:00:24] 同学就可以直接不用来了
[00:00:25] 我就可以期末替代
[00:00:26] 但是我发现已经有不止一个同学来问我说
[00:00:29] 如果呃如果交卷了
[00:00:31] 然后我期末考的更高
[00:00:32] 能不能用期末算
[00:00:33] 那肯定是不能的
[00:00:34] 这个你你选择交卷
[00:00:35] 就是你你认可你的成绩了
[00:00:37] 然后你因为你还不知道期末考试题是什么样
[00:00:40] 不能什么事情都要呃占便宜呵
[00:00:42] 这样对
[00:00:44] 然后并发编程
[00:00:45] 我们讲到其实已经讲完了
[00:00:48] 因为你们理论上说已经可以用我们讲过的机制
[00:00:51] 实现各种各样的呃并发程序了
[00:00:54] 呃我们呃最开始的时候把呃线程比作人
[00:00:58] 把共享内存比作物理世界
[00:01:00] 然后这样我们构建了很多的呃并发的算法
[00:01:03] 像PETERSON的协议啊这些
[00:01:05] 然后又有spun join lock on log为broadcast pv
[00:01:10] 操作这些API
[00:01:11] 然后就是因为有了这些API
[00:01:12] 当然它底层的操作系统
[00:01:14] 比如说操作系统提供的是呃像clone
[00:01:16] 或者是呃FUTX这样的系统调用
[00:01:19] 然后帮我们实现了这些
[00:01:21] 并发编程的基础的API以后你就可以去实现
[00:01:24] 比如说像计算图
[00:01:26] 像dining philosophers
[00:01:28] 生产者消费者啊这样的
[00:01:30] 各种各样实际中有用到的
[00:01:32] 并发编程
[00:01:33] 当然了
[00:01:34] 我还是要告诉大家
[00:01:35] 并发编程其实是很难的
[00:01:37] 因为我们人类呃本质上我们的整个训练过程
[00:01:41] 预训练后训练
[00:01:42] 微调过程都是在物理世界中完成的
[00:01:45] 然后在这个物理世界中
[00:01:46] 有一个非常基本的物理定规律
[00:01:48] 就是我们的脑子是在我们脑壳里的
[00:01:50] 它它飞不出来
[00:01:51] 然后我们能够感知到的都是我们自己的手脚
[00:01:54] 眼睛看到的东西
[00:01:55] 所以呃人天生就是一个物理世界
[00:01:58] 这个share memory里面呃视角非常小的一个一个东西
[00:02:02] 然后我们就被训练成了呃这样的东西
[00:02:05] 所以没办法
[00:02:06] 我们呃包括我们写程序的时候
[00:02:08] 你们学编程的时候
[00:02:10] 一开始也是教你们顺序执行
[00:02:11] 你们都没有
[00:02:12] 没有意识到
[00:02:15] 其实程序编程语言是一个顺序执行的呃模型
[00:02:19] 因为它实在是太自然了
[00:02:22] 然后一旦我们从顺序程序变到并发程序
[00:02:25] 那就很容易产生程序执行的各种各样的幻觉
[00:02:29] 你会不由自主的会觉得哎
[00:02:30] 我的程序应该是顺序执行的
[00:02:31] 然后就就错了
[00:02:33] 因为你要理解所有的并发程序的行为是np hard
[00:02:35] 比呃你必须要枚举指数多个东西
[00:02:39] 才能知道并发程序真正的行为是什么
[00:02:41] 所以今天我就来给大家讲一讲
[00:02:43] Learning from mistakes
[00:02:44] 是是我们在实际的并发编程的时候
[00:02:46] 会遇到什么样的问题
[00:02:47] 然后以及我们人类是怎么样解决
[00:02:50] 解决这个问题的好
[00:02:53] 首先第一类我要讲的并发bug叫死锁
[00:02:58] 这个名字也非常的直观
[00:03:00] 思索a dead lock is stain
[00:03:02] Which each member of a group is waiting for another member
[00:03:04] 互相等待
[00:03:05] including yourself和可以自己等自己
[00:03:08] To take action
[00:03:09] 然后实际中死锁也是有可能发生的
[00:03:11] 这是去年11月的时候
[00:03:13] 我们班上同学的投稿
[00:03:15] 这是真实的发生的事情
[00:03:18] 我觉得这个词索要发生其实条件也挺苛刻的
[00:03:21] 就是那个公交车头尾头尾头尾连起来了
[00:03:23] 然后呃没有一个车可以呃可以在
[00:03:27] 在make progress
[00:03:28] 所以这就是一个很自然的呃并发
[00:03:31] 并发当中也可能遇到的呃问题
[00:03:36] 然后思索有很多种类型
[00:03:38] 比如说AA型的思索
[00:03:40] 什么是AA型的思索呢
[00:03:41] 同一个线程我可以我我之前讲的时候都是说哈
[00:03:45] 如果我们要呃正确的实现并发编程的话
[00:03:48] 比如说我们有线程要做sum加加
[00:03:50] 那我T1我我就lock
[00:03:53] 当然一定要log同一把锁
[00:03:55] 然后sum加加
[00:03:56] 然后unlock
[00:03:58] 然后在这里面lock和unlock
[00:04:00] 我们假设都是配对的
[00:04:01] 我们讲信号量的时候说有一个骚操作
[00:04:04] 是我们在一个县城UNLOG可以把锁
[00:04:07] 然后在另外一个线程一开始main的时候
[00:04:10] 把这把锁线快了
[00:04:11] 然后在这把锁release
[00:04:12] 在这个线程T1线程release
[00:04:14] 这样做一个happens before
[00:04:15] 但实际用的时候我们应该是这样的
[00:04:17] 比如说T2也是一个lock同一把锁
[00:04:20] 然后呃那这时候他就等待
[00:04:21] 要等到它unlock以后
[00:04:24] 我这个锁才能重新获得
[00:04:25] 然后SAM加加
[00:04:26] 这样就可以实现互斥了
[00:04:27] 但我没有上课的时候没有讲的是
[00:04:30] 如果你lock同一把锁
[00:04:34] 比如说lock1把锁
[00:04:35] 任何一把锁
[00:04:36] 我再做一次lock会发生什么呢
[00:04:41] 对啊你们觉得会发生什么呢
[00:04:42] 就你们站在操作系统或者
[00:04:44] API的设计者的角度
[00:04:45] 你们觉得会发生什么
[00:04:46] 你有两种肯定有两种实现嘛
[00:04:48] 一种是呃你lock的时候有一个计数器
[00:04:51] 你你lock一次就加一
[00:04:53] 再lock一次就减一
[00:04:54] 那这个计数器是可以是县城本地的
[00:04:56] 因为你只有这把锁以后
[00:04:57] 你再维护这个计数计数器就可以
[00:04:59] 然后你你这时候你因为你有两个unlock
[00:05:01] 你就必须要呃有两个lock
[00:05:03] 你就必须要有两个unlock配对起来的
[00:05:05] 才能啊把它呃给解开
[00:05:08] 你第一次unlock你只能把这个计数器减一
[00:05:10] 但减不到零
[00:05:11] 然后你只有第二次unlock的时候
[00:05:12] 你才能
[00:05:13] 那这个行为到底是不是到底是不是这样的呢
[00:05:17] 你看我都告诉你了
[00:05:18] 这叫AA型的呃思索
[00:05:20] 如果你们产生过这样的问题
[00:05:21] 那就比较好
[00:05:22] 你们在学这个线程库的时候
[00:05:23] 哎我我觉得大家在学呃这些东西的时候
[00:05:27] 我比如说我没有讲的时候
[00:05:28] 很自然的
[00:05:29] 你们可能会想到这个
[00:05:31] 但是以前编程验证是一个很麻烦的事
[00:05:34] 但现在你让AI直接写个程序
[00:05:36] 然后我我今我也让AI直接帮我写了一个
[00:05:38] 写了一个死锁演示的程序
[00:05:41] 比如说我让他做一个AA型的
[00:05:44] Dead lock
[00:05:45] 能够acquire
[00:05:46] 再再acquire
[00:05:47] 那这对于AI来说是一个特别简单的呃任务
[00:05:51] 比如说a a dialog
[00:05:53] 那我我我就放一个提log
[00:05:55] 甚至我可以在main里面做
[00:05:56] 然后我就是呃acquire
[00:05:59] 然后再打印一个消息
[00:06:01] 然后再acquire同一个
[00:06:02] 然后我再打印一个消息
[00:06:03] 那如果呃不会死锁的话
[00:06:06] 那这个线程就会结束
[00:06:07] 然后整个main函数也会也会结束
[00:06:09] 但如果我们编译运行它的话
[00:06:13] 看一下诶这个程序就卡住了
[00:06:16] 所以死锁是一个还算是它的symptom
[00:06:19] 是比较容易检查到的
[00:06:21] 你你最直观的就是
[00:06:22] 你你预期你的程序总共就做一点点事
[00:06:25] 做一个生产者
[00:06:26] 消费者打印100个括号
[00:06:27] 那你对打印100个括号这件事是有时间感知的
[00:06:31] 应该是在你能够感知的时间之内
[00:06:34] 它马上就结束了
[00:06:36] 但是你看我的这个线程
[00:06:37] 它你预期比如说0.1ms就要结束了
[00:06:40] 但是它到现在还没有结束
[00:06:41] 所以你你你知道可能发生的问题
[00:06:43] 而且这个问题是你第二个message没有打出来
[00:06:46] 你刚才我们的代码里面
[00:06:48] 应该如果能够像像这样是计数器
[00:06:51] 线程式计数器的话
[00:06:52] 你应该能看到两个
[00:06:54] Print f
[00:06:54] 但是现在没有
[00:06:55] 那我们就知道
[00:06:56] 确实发生了呃丝状
[00:06:59] 然后其实啊我我我经常
[00:07:01] 我现在经常在AI写代码的时候
[00:07:03] 我会观察他写代码的过程
[00:07:05] 而其实每一个同学你们在AI写代码时候
[00:07:07] 也也可以像我上课这样
[00:07:10] 因为你看我我我是可以给呃cloud code grant权限的
[00:07:14] 比如说我可以给他读写的权限
[00:07:16] 这样他就再也不会提示我
[00:07:17] 然后我也我也可以
[00:07:19] 甚至这个dangerous skip all permissions
[00:07:21] 就是他他不不给任何提示
[00:07:23] 然后他删库就删库
[00:07:24] 最近好像有一个什么
[00:07:25] 就在这两天就又有一些谁被CLO的删除了
[00:07:29] 然后导致这个生产环境里面下线
[00:07:31] 然后导致回滚到备份
[00:07:33] 呃你完全可以说今天做操作系统实验了
[00:07:36] 然后直接coco的帮我搞定
[00:07:37] 然后他甚至自己可以去网上读那个实验手册
[00:07:41] 他可以fetch url l
[00:07:42] 还可以甚至可以browser youth
[00:07:44] 然后他最后可以自己提交
[00:07:46] 然后提交完它甚至还可以自己browser youth
[00:07:48] 去去找到它
[00:07:49] 我的online judge没有过没有过
[00:07:51] 他可以再fix
[00:07:52] 但是这个其实你你就失去了
[00:07:55] 你你学习里面比较重要的
[00:07:57] 重要的一环就是观察和思考
[00:07:59] 如果你来做
[00:08:00] 你会不会这样做
[00:08:01] 如果你来做
[00:08:02] 你是不是做的比AI好
[00:08:04] 有的时候我们也也经常看AI犯蠢
[00:08:06] 我就真的有的时候很想打断他
[00:08:08] CTRL加C打断他
[00:08:08] 然后骂他
[00:08:10] 然后骂他
[00:08:10] 他他就会说这个you are you are absolutely right
[00:08:14] 说这个呃呃呃但我也可以不打断他
[00:08:17] 然后我可以观察他
[00:08:19] 是怎么一步一步把这个问题解决的
[00:08:21] 就今天的AI很明显的
[00:08:24] 他的能力就是他会犯错
[00:08:25] 但是他他犯了错
[00:08:26] 他可以把这个错给给修好
[00:08:28] 这这这是一个很厉害的呃能力
[00:08:31] 然后在这个过程当中
[00:08:32] AI就不断的向你输出信息
[00:08:34] 它会包括有思考的中间过程
[00:08:37] 你甚至可以在你的cloud m d里面加一个prompt
[00:08:40] 让它呃多把他的思考过程给讲出来
[00:08:43] 以一个老师的身份来来向你解释
[00:08:46] 然后再继续
[00:08:48] 那这在这个里面你就可以学到
[00:08:50] 比如说像库函数的使用
[00:08:52] 写代码的best practice
[00:08:53] 然后你你你可以看到
[00:08:55] 他用了各种各样的命令行工具
[00:08:56] 有些可能是你从来没有用过的
[00:08:58] 你你知道
[00:08:58] 你留个印象
[00:08:59] 原来你在做这件事情的时候
[00:09:01] 有可能能用到这样的一个呃命令行工具
[00:09:04] 那这种AA型的思索
[00:09:06] 你看起来就很傻
[00:09:07] 对不对
[00:09:07] 我的那个例子里面
[00:09:09] 我lock a
[00:09:10] 然后我再lock a
[00:09:11] 你你打赌自己绝对不会干这件事的
[00:09:15] 真实的世界就比较复杂了
[00:09:17] 因为真实的系统里面你不是只有一个文件
[00:09:20] 不是像这里一个over sisimplify的case里
[00:09:24] 你只有一个线程
[00:09:26] 然后这个线程只有十行的代码
[00:09:27] 当你的代码散落在几十个文件里的时候
[00:09:31] 然后这几十个文件里又会有多层的函数调用
[00:09:33] 甚至递归的时候
[00:09:35] 还可能会有隐藏的控制流的时候
[00:09:39] call back信号中断
[00:09:42] 你在处理你
[00:09:44] 你现在acquire一个lock
[00:09:45] 然后结果这时候你按下CTRL加C
[00:09:48] 然后CTRL加C的时候
[00:09:49] 你认为这里有个并发数据结构
[00:09:50] 你要保护好它
[00:09:51] 你也acquire同一个lock
[00:09:52] 然后就形成了这个AA型的思索
[00:09:54] 也就是说是我们的一旦程序开始并发
[00:09:57] 开始异步这个控制流
[00:09:59] 你就不可能完全想清楚了
[00:10:01] 所以所以我们需要互斥这样的机制
[00:10:03] 来阻止并发的发生
[00:10:05] 但是阻止并发的发生也是有代价的
[00:10:06] 你会产生这样的呃思索
[00:10:09] 你们回可以回去问问AI有没有
[00:10:10] 现实中有没有这样AA型思索例子
[00:10:12] 才会告诉你很多
[00:10:13] 而且有些是真的是在生产环境里面
[00:10:16] 导致一些导致一些问题的好
[00:10:20] 除了AA型的死锁
[00:10:23] 还有一个很重要类型的思索
[00:10:25] 就是ABBA型的死锁
[00:10:26] 那这个就更更直观了
[00:10:28] 也就是我们在那个哲学家吃饭的时候
[00:10:31] 我我们看到的情况
[00:10:33] 所有的人都举起左手acquire1把锁
[00:10:36] 然后他试试图学quire另外一把锁的时候
[00:10:38] 就没有人可以make progress
[00:10:39] 就跟我们刚开始的时候
[00:10:41] 看到那个公交车的例子一样
[00:10:42] 所以如果有一个线程lock a
[00:10:45] 然后他在lock b好
[00:10:48] 那如果线程T1和T2
[00:10:50] 它没有没有交错执行
[00:10:52] 那这个程序好像OK先A后B
[00:10:54] 但是如果T2他lock b
[00:10:58] 然后这个时候T1和T2都持有了自己的锁
[00:11:03] 那这时候T1试图去lock b
[00:11:05] 他就要等到T2把式锁释放掉
[00:11:09] 但是同时T2如果这个时候执行lock a
[00:11:12] 它就需要等待T1把这个锁释放掉
[00:11:15] 所以就形成了一个循环等待
[00:11:17] 当然这个在在Danny philosophy里面
[00:11:21] 这个问题更复杂
[00:11:22] 因为他有呃五个人
[00:11:23] 五个县城会形成一个环境的等待
[00:11:26] 不仅仅是ABB
[00:11:27] 但是呃简化来讲
[00:11:28] 它就是一个AABBA型的呃dead lock
[00:11:32] 你们如果做实验的话
[00:11:33] 你们拆锁的时候还是很容易发生
[00:11:36] 这样的ABBA型的思索的
[00:11:38] 在实际的呃呃系统当中
[00:11:40] ABBA型的思索也是最常见的
[00:11:43] 我这就不用展示了
[00:11:44] 这个带din philosopher
[00:11:46] 如果我我不去像上上一节课
[00:11:49] 我讲的那个有些聪明的办法去解决
[00:11:52] 上锁的这种环形的等待的话
[00:11:55] 他就打一会
[00:11:56] 你就看到这个plosers is eating
[00:11:58] 不再打印出来
[00:11:59] 整个系统就陷入了一个静默的状态
[00:12:01] 不过好消息是死锁
[00:12:03] 一般来说比较容易检查
[00:12:05] 因为你很快看到你的程序输出了一秒钟都不停
[00:12:08] 在输出日志
[00:12:09] 突然就一一个日志也没有了
[00:12:11] 哎你马上就知道了
[00:12:12] 你的系统里可能发生了一个死锁
[00:12:14] 而且在这个时候
[00:12:15] 如果你也touch一个GDP上去的话
[00:12:17] 死锁也是一种相对来说比较容易呃检查的
[00:12:22] bug对
[00:12:23] 这就是思索好
[00:12:25] 然后为了解决这个死锁问题
[00:12:27] 因为刚开始最早的时候操作系统开始有了
[00:12:30] 然后大家就开始开始写有锁的程序的时候
[00:12:34] 就各种各样的出bug
[00:12:35] 然后出了bug以后
[00:12:36] 大家自然而然的就会去研究
[00:12:38] 思索到底是为什么会发生的
[00:12:40] 然后我们怎么怎么避免它
[00:12:42] 那这里有一个呃我也是我很喜欢的经典论文
[00:12:46] 叫system deadlocks
[00:12:47] 1971年的
[00:12:49] 文章我倒是真的是推荐
[00:12:52] 每一个同学去去读一读
[00:12:53] 像像比如说我现在用豆包读
[00:12:55] 读这个所有的论文
[00:12:58] 他会他会帮我读好
[00:12:59] 我就不打开了
[00:13:00] 但是这这这个文章写的
[00:13:02] 你看1971年写的非常平实
[00:13:03] 然后你可以从中呃得到很多的呃启发
[00:13:08] 我们还是死锁
[00:13:09] 是是是一个典型的并发问题
[00:13:12] 然后我们理解并发的时候
[00:13:14] 我们也是呃就是把线程想象成人
[00:13:16] 然后把share memory想象成物理世界
[00:13:18] 那我们就把锁理解成桌子上有一把钥匙
[00:13:21] 然后我们能只有拿到那把钥匙的人
[00:13:23] 才可以继续执行代码
[00:13:25] 也就是说才可以进入这个啊临界区好
[00:13:28] 那这个paper里面就提到了
[00:13:30] 死锁产生的四个必要条件
[00:13:32] 所谓的必要条件就是任何一个条件
[00:13:34] 如果呃不满足
[00:13:35] 就这个思索就不会发生了
[00:13:37] 就可能不会发生了
[00:13:39] 当然还可能有别的呃别的问题好
[00:13:41] 那第一个条件是说呃是mutual exclusion之互斥
[00:13:45] 也就是说你你实现的
[00:13:46] 还是要还是要实现一个互斥
[00:13:48] 一把钥匙只能被一个人拿到
[00:13:51] 拿到钥匙才能继续
[00:13:52] 就说互斥
[00:13:53] 如果你这互斥不互斥了
[00:13:54] 那那肯定是也不会死锁了
[00:13:56] 锁都不是锁了
[00:13:58] 你你的呃包间
[00:14:01] 门上的锁都被拆掉了
[00:14:02] 那你你确实是不会思索了
[00:14:04] 但可能会有其他的问题
[00:14:06] 然后第二个条件是wait for
[00:14:07] 意思是像这种情况
[00:14:09] 拿到钥匙的人还想拿到更多的钥匙
[00:14:13] 这也很重要
[00:14:14] 因为你看AA型的四座也是的
[00:14:16] 我已经我已经把这桌子上的钥匙拿过来
[00:14:19] 放到我口袋里了
[00:14:20] 我还想再从桌子上摸一把钥匙
[00:14:22] 我已经永远不可能做到
[00:14:23] 我就AA型的思索了
